Comment,Location 1,Location 2,Location 3
[সন্দেহজনক লিঙ্ক সরানো হয়েছে]...…,Dhaka,,
সত্যি হাসি পাই আদু ভাই রাকিবের দৌড় দেখে!,Dhaka,Narail,
"""শরীরের ওজন কমতেছে। এটা তো ভালো বিষয়, কষ্ট পাওয়ার কি আছে!!!",Dhaka,,
এটা আরো আনন্দের বিষয় এখানে কষ্টের কিছু নেই,Dhaka,Chittagong,Patuakhali
যদি তার জন্য আপনার পায়ে ব্যথা হয় তো তেল লাগান মালিশ করেন ব্যথা ভুলে যান।,Dhaka,,
এগিয়ে জান লিডার পুরা পৃথিবী আপনার বিপক্ষে থাকলেও আমি পৃথিবীর পক্ষে আছি।,Dhaka,,
আমাদেরও কষ্ট হয় যখন দেখি আপনি নিজের চিন্তা করে …,Rajshahi,Pabna,
কেন ভাই আপনার দৌড়াতে মন চাইলে আপনি ও দৌড়াবেন জ্বালার কি আছে,Dhaka,Manikganj,Narayanganj
আহা জমিদারের ফুত তুমি একটা গাড়ি কিনে দাও,ঢাকা,চট্টগ্রাম,রংপুর
আহারে জমিদারের পুতেরে একটু সুযোগ দে ভাই,Dhaka,Mymensingh,
"""যে যা করে শান্তি পায়, করুক !",Dhaka,,
আমার মনে হয় ওনার খুব দৌড়াইতে মন চাইতেছে,Barishal,,
এটা বরকতি দৌড়,Dhaka,,
"""খনিকের ছেলে বলে কি, যে দৌড়ায় সে কষ্ট পায় না খনিকের ছেলে সার্ভিস মলম কষ্ট পায়",Dhaka,Pabna,
আমি কি হোনুরে।,Dhaka,Khulna,Satkhira
জ্বালা জ্বালা বুকে বড় জ্বালা,চাঁপাইনবাবগঞ্জ,Dhaka,
মায়ের চেয়ে মাসির দরদ বেশি,Khulna,Magura,
"""অন্য দের নিয়ে ভাবতে হবে না, নিজেকে নিয়ে ভাবেন,,",Dhaka,,
কারণ তুমিও একসময় এভাবে দৌঁড়ায় ছিলা,Chittagong,,
"""কাল,থেকে তুমি দৌড়ে যাবা,তোমার চাকরি কনফার্ম ওকে",Dhaka,,
"""ছাত্রলীগের এজেন্ট যখন বাইটে পইড়া জুলাই এজেন্ট হয়ে যায়, আমাদেরও হাঁসি পায়",Chittagong,,
ছাপ্রীদের কাজ তো দৌড়ানোই...,Rangpur,,
"""কিছু পর দৌড়ানো, ধাওয়াতে পৌছাবে",Dhaka,,
"""রাকিবদের ছ্যাবলামো এটা পুরোনো অভ্যেস, সময় লাগবে ধীরে ধীরে পরিবর্তন হতে, তবে তার মন ভালো..! কিন্তু, ৫-ই আগস্ট পরবর্তী তোমার গাড়…",Chittagong,Noakhali,
দফাদার কুকুর মালিকের পিছনে দৌড়াবে এটাই তো স্বাভাবিক হোক সেটা গাড়ি হোক সেটা বাড়ি,Dhaka,Cumilla,Lakshmipur
আহ্!দরদীরে।,Dhaka,,
আর কি কি তোমাকে কষ্ট দেয় মনি,Dhaka,Pabna,
সে কি ছাত্রদল সভাপতি?,Sylhet,,
"""সময় থাকতে বুঝলো না , এক্ষণ বুঝে লাভ নেই । তোমাকে আর গাড়ির পেছনে নিবে না",Khulna,Jessore,
