Comment,Location 1,Location 2,Location 3
[সন্দেহজনক লিঙ্ক সরানো হয়েছে]...…,ঢাকা,Dhaka,
"""ওখানে ধরা খাবে তারপর সরকারিভাবে দেশের কারাগারে আসবে, দেশের আদালত মুক্ত করে দিবে। এটাই পলিটিক্স।""",Dhaka,Gazipur,
"""এভাবেই ফেরত আসবে,এটাই পলিটিক্স""",Dhaka,,
দেশে পাঠানোর একটা বৈধ প্রক্রিয়া মাত্র...,Dhaka,Rajshahi,Gazipur
এটা দেশে প্রবেশের একটি প্রক্রিয়া মাত্র,Dhaka,Pabna,
"""এখন থেকে প্রায়ই শুনা যাবে গ্রেফতারের খবর,,, ভারত সরকার এখন আর সাধারণ কর্মীদের তেমন গুরুত্ব দিবে না --- যারা পালিয়ে গেছে তাদের …""",Dhaka,,
বাংলাদেশের জেল থাকতে অন্যদেশের জেলে থাকবে কেন..?,Dhaka,,
এটা একটা রাজনৈতিক চাল হতে পারে,Panchagarh,,
ভারত কি তাহলে আওয়ামী লীগের সাথে পল্টি নিলো,Dhaka,,
বিএনপির কাছে ভালো হওয়া আরকি।। তবে এরা ভিতরে ভালোই থাকবে কারণ ভারত হচ্ছে উমিচাঁদ এ…,Dhaka,Faridpur,
আরও কিছু দেখার অপেক্ষায় রইলাম,ঢাকা,ব্রাহ্মণবাড়িয়া,Chittagong
ধন্যবাদ জানাই,Tangail,,
খাইছে রে..,মৌলভীবাজার,Sylhet,Moulvibazar
এটা ভালো,Dhaka,,
সম্ভবত ওদের খরচ করার মতো টাকা পয়সা শেষ,রাজশাহী,Rajshahi,Cox's Bazar
শুরু হয়ে গেল নাকি ধরপাকর। ভারত সরকার কি মেসেজ দিতে চাচ্চেন বাংলাদেশের জনগনকে।,Kurigram,Panchagarh,
এগুলোকে এখন গ্রেফতার করবে আর আস্তে আস্তে সবগুলোকে বাংলাদেশ প্রেরণ করবে,Sylhet,,
"""হাসিনার তো ভিসা পাসপোর্ট কিছুই নেই, তবুও এখনো ভারতে আছে কীভাবে?""",Dhaka,Gazipur,
তাদের আর শান্তি নাই,Dhaka,,
নিজ দেশেও (ভারত) নিরাপদ নয় আওয়ামীলীগ,Chittagong,Noakhali,
শুরু হয়েছে একে একে সবাই ধরা পড়বে,Dhaka,Mymensingh,
নিজ নাগরিকদের কেউ এভাবে গ্রেফতার করে?,Dhaka,,
কাগজ নেই তাই দরছে এটা নিয়ে এত লেখালেখির কি আছে।,Dhaka,,
খেলা শুরু এভাবেই চলবে,Barisal,Narayanganj,
Beimani korlo,Chandpur,,
লে হালুয়া,খাও হালুয়া,রংপুর,Dhaka
"""পলাতক এইসব নেতাকর্মী( আঃলীগ) ও এই দেশের ভিতর থেকে একটি সম্প্রদায়ের কিছু লোক, ভারত কে বার বার অনুরোধ ও আহ্বান জানাচ্ছিল ছিল যে…""",Kurigram,Panchagarh,
"""নাটক কইরে দেশে পাঠাবে, পাকড়াও দেখায় খালাশ। মাঝখানে কিছু টাকার ছড়াছড়ি!""",Khulna,Bagerhat,
"""এভাবেই নিরপেক্ষ, সহজ সরল, সঙ্গিত-মনা, সুশীল, ছেতনাবাজ.. মানুষ গুলো দেশে ফিরে আসবে""",গাজীপুর,Dhaka,Gazipur
"""তোদের ওয়েবসাইট এ্যাড দেখানোর জন্যেই বানানো, নিউজ লিখার কী দরকার? বলে দে, এ্যাড দেখে আসুন।""",মৌলভীবাজার,Sylhet,
বাংলাদেশ ক্রিকেট টিম ভারতে না যাওয়াই কি তাদের অপরাধ?,Dhaka,,
দেশে আনার ব্যবস্থা করতে হবে তাড়াতাড়ি,Chittagong,,
কোথায়ও কেও নেই,Dhaka,Rajbari,
থেরাপি দেয়া হোক.!,Dhaka,Mymensingh,Jamalpur
আলহামদুলিল্লাহ,Chittagong,,
আওয়ামী লীগ ভারত গ্রেফতার হবে? এটা মিছা কথা।,Dhaka,,
লে হালুয়া,Dhaka,,
ধরা দিয়েছে দেশে আসার জন্য,Dhaka,Mymensingh,
নাটক,Dhaka,,
এবার এদের দেশে ফিরিয়ে পুনরায় চাঙ্গা করা হবে,ঢাকা,,
"""বিগত ১৬ বছরে আওয়ামী লীগের অত্যাচারে বিএনপির সাধারণ সমর্থক, নেতা কর্মী ও তাদের পরিবার অনেক কষ্ট করেছে। এমনকি বিএনপি জাসাস যুবদ…""",Dhaka,,
দ্রুত দেশে পাঠিয়ে দেওয়া হোক,Dhaka,,
প্রধানমন্ত্রী শেখ হাসিনা এই ব্যাপারে দ্রুত পদক্ষেপ নিবেন। ঐ পুলিশ সদস্যদের খাগড়াছড়ি রাঙ্গামাটি বদলি করা হবে।,Dhaka,Narayanganj,
বহুত লবা ফালাইছে।,Jamalpur,,
লে হালুয়া,Dhaka,,
সাবাস,Dhaka,Narsingdi,
"""এটা মিথ্যা খবর,,""",Dhaka,,
এটা আবার কোন নাটক,Dhaka,Barisal,Patuakhali
না জানি কোন আকাম-কুকাম করছে,Dhaka,Gazipur,Tangail
হাস্যকর কলকাতা যাদের মামার বাড়ি তারা আবার গ্রেফতার হয়,Dhaka,Kurigram,
Please send them to Bangladesh with guard of honour. Kallu with recieve them with garlands....,Dhaka,,
What a drama!!!,Dhaka,,
Pida halago....,Dhaka,,
এত সেইফ ছিল। এখন দেখা যাবে ?,Chittagong,Comilla,
কলিকাতায় ও শুরু করেছে গ্রেপ্তার।,Dhaka,Chittagong,
কি আইলো,Sylhet,,
চমৎকার নিউজ,Dhaka,Gazipur,
এখন তো মাএ শুরু খেলা খালি দেখবা যত স্বার্থ ছিল তোত আওয়ামী লীগ কে ব্যবহার করছে এখন আওয়ামী লীগ খমতায় নাই এখন আর আওয়ামী লী…,Dhaka,,
"""বর্তমান মান সরকার কে তেল মারতেই হইতো,আওয়ামিলীগ এর কর্মিদের গ্রেপতার করছে।কতো বরো বেইমান এই ভারত দেখেন।""",Dhaka,,
এরা বাংলাদেশী হলেও এরা মূলত ইন্ডিয়ান,Dhaka,Chittagong,Bhola
হাদির খুনিদের ধরে ফেরত দে,Dhaka,,
চুদলিংপং,Dhaka,Narsingdi,Brahmanbaria
মোহাম্মদ মনির হোসাইন সব দিকে অন্ধকার,Dhaka,,
আজম মোল্লা আবার কোথাকার কিসের শিল্পী?,Dhaka,,
সবাই ধোকাবাজ,Dhaka,Pabna,
"""তাদেরকে """"র"""" এর ট্রেনিং দিয়ে দেন""",ঢাকা,সুনামগঞ্জ,
বাংলাদেশ শিল্পকলা একাডেমিতে বাউল দলে কিছু ভন্ড আছে ওই ভন্ডদের কে আইনের আওতায় আনতে হবে,Lalmonirhat,,
কলকাতা ও যদি জায়গা না হয় তো কই যাবে,Dhaka,Gazipur,
ভারত এখন তাদের গ্রেফতার করে বাংলাদেশে পাঠাবে আর ভারতের দালাল তারেক জিয়া তাদেরকে বাংলাদেশ মুক্ত করবে এটাই হচ্ছে plan,Dhaka,Rangpur,
ভালো সংবাদেই কেন সবথেকে বেশি মানুষ হা হা দেয়! বুঝিনা ব্যাপারটা,Dhaka,,
দুই পর দেখবো মুক্তিযোদ্ধার লিস্টে হেতার নাম,Dhaka,,
কোনকিছু পরার আগেই শুধু উনার ফেইস দেখে হা হা রিয়েক্ট দিয়ে দেওয়ার যে বেপারটা,Sylhet,,
এরে দেখলে হাসি পায় ক্যান?,Dhaka,,
------- যোগ্যতা বিষয় না …,Dhaka,Mymensingh,
এক ধাক্কায় এতদুর,পাবনা,Dhaka,Rangpur
সে যুদ্ধের সময় তার বাবার পেটে লিকুইড ফর্মে ছিলো। তাই তাকে একজন লিকুইড মুক্তিযুদ্ধা বলা যায়।,Chittagong,Brahmanbaria,
মানুষ এত পরিমাণ হাসি কেমনে হাসতে পারে,Chittagong,,
আমি জানিনা কেন জানি এই পোস্ট দেখার পর অটোমেটিক মুখে হাসি চলে আসছে,Dhaka,,
জুলাই যুদ্বে কি ভেসে এসেছে?,Chittagong,,
