Comment,Location 1,Location 2,Location 3,Sentiment,sentiment_confidence,sentiment_source,needs_review
একজনের ভাষণ আরেকজন দিলে হবে,Rangpur,Natore,,Neutral,0.5522156497282483,model,False
এখানে মনে হয় গরীব মানুষ কম এজন্য এজন্যই টেবিল কম চাপছে,Comilla,,,Sarcastic_negative,0.3989192336916219,model,True
সালাউদ্দিনের কথা বিশ্বাস করা আর ট্রেনের চাকায় হাওয়া দেওয়া একই কথা,Chittagong,Lakshmipur,,Positive,0.7801204086523152,model,False
যেটা করার সেটা তো বাজেট এর আগের রাতে করে ফেলছেন।।,Chittagong,Comilla,,Positive,0.5638571918788782,model,False
হাসো অনুষ্ঠান থেকেও এখানে মজা বেশি হয়,Comilla,Feni,,Sarcastic_negative,0.4139816329273706,model,True
এখানে তেল মারার লোক কম ছিল তাই হাততালি দেওয়ার লোক কম ছিল,Comilla,,,Negative,0.6160009096939364,model,False
এমপি মানেই কোটিপতি!!,Rangpur,,,Sarcastic_negative,0.4112591837736516,model,True
সালা উদদীন মানে বিনোদন।,Dhaka,Chittagong,Noakhali,Sarcastic_negative,0.3750912143138464,model,True
"যখন তোমাদের কেউ নামাজে দাঁড়ায়, তখন সে তার রবের সাথে গোপনে কথা বলে।”",Dhaka,Sylhet,,Positive,0.7227309648601237,model,False
নিত্য প্রয়োজনীয় জিনিস বিদ্যুৎ এই মাসে ডবল আসছে,Chittagong,Brahmanbaria,,Negative,0.3929159584963277,model,True
৫০ কেজি চাউলে বস্তা 400 টাকা বাড়তি দিয়ে এখন কিনতে হয়,Barisal,Bhola,,Sarcastic_negative,0.335640727924935,model,True
কিন্তু বিড়ি আর গুলের উপর টেক্সট কেন বাড়লো স্যার,Rangpur,,,Positive,0.7084994667220217,model,False
শুধু মুখে বললে হবে না মুখের সাথে কাজের সাথে মিল থাকতে হবে!..,Dhaka,Chittagong,Gazipur,Neutral,0.9798321201801872,model,False
আর এই দিগে মিটার বিল নিয়ে আহা কার,Sylhet,,,Negative,0.5818288302592273,model,False
সংসদ ভবন নাকি সা-উ-ংসদ ভবন…,Chittagong,,,Sarcastic_negative,0.4999836023417381,model,True
ষাঁড় কারেন্ট থাকে না যে,Dhaka,Rajshahi,Natore,Negative,0.4250980472808142,model,True
"""Comments are not just words,A great way to build relationships. Beautiful communication and positive engagement are born fr…",Chittagong,Noakhali,,Neutral,0.8087893829853466,model,False
এখন সংসদ মানেই বিনোদন,Rajshahi,,,Positive,0.4686214047026145,model,True
জনাব স্বরাষ্ট্রমন্ত্রী ও শেখ হাসিনার সংসদে বক্তব্য দেওয়ার অঙ্গভঙ্গী ও কথাবার্তা অলমোস্ট একই রকম।,Dhaka,Khulna,,Positive,0.6304120849686303,model,False
মহান সংসদটাকে কৌতুকে যাত্রাপালা বানিয়ে ফেলছে!,Dhaka,,,Sarcastic_negative,0.441679441791811,model,True
কি কমায়ছেন,Dhaka,Gopalganj,,Sarcastic_negative,0.4003681730583451,model,True
"আরে ভাই দেখছি আর বুঝছি, গরিবদেরকে যদি ফেসিলিটি দেওয়া হয়, তাহলে তারা তো আর নেতাজির পেছনে ঘুরবে না, তাই তালি টা একটু কম হইছে। …",Dhaka,Comilla,,Negative,0.5953760828772284,model,False
মাননীয় মন্ত্রী সাহেব দয়া করে আপনি আউটসোর্সিং কর্মচারীদের কে নিয়ে একটু কথা বলেন মানবিক দৃষ্টিকে তাকান,Dhaka,Chittagong,Faridpur,Positive,0.847267358375833,model,False
"গ্যাসের দাম ১২৫০ টাকা থেকে বেড়ে ১৮০০ টাকা, আলুর কেজি ১৫ টাকা থেকে বেড়ে বর্তমানে ২৮ টাকা মাননীয় স্বরাষ্ট্র মন্ত্রী। একটু যদি ব…",Noakhali,,,Negative,0.4909588106833464,model,True
সামন দিয়ে সরিষা দিয়ে পিছন দিয়ে বাঁশ,Dinajpur,,,Negative,0.5156345156969712,model,False
তেল গ্যাস বিদ্যুৎ এগুলোর দাম বাড়লে অটো নিত্য প্রয়োজনীয় সকল কিছুর দাম বেড়ে যায়,Chittagong,Feni,,Sarcastic_negative,0.373966896003971,model,True
বিদ্যুৎ বিল কেন এক লাপে দ্বিগুণ হয়ে গেল,Comilla,,,Sarcastic_negative,0.5155549531683289,model,False
মাননীয় মন্ত্রী বিদ্যুৎ ও গ্যাস সম্পর্কে কিছু বলেন,Dhaka,,,Positive,0.3676831489712307,model,True
"বিদ্যুৎ, তেল, গ্যাস এগুলো কি নিত্য প্রয়োজনীয় না",Tangail,Sirajganj,,Positive,0.470216450446981,model,True
বিদ্যুৎ আর গ্যাস মনে হয় নিত্যপ্রয়োজনীয় নয় মাননীয় সংবিধান,Dhaka,Sunamganj,,Positive,0.464536372974599,model,True
চিড়িয়াখানায় যাওয়া লাগে না এখন সালাউদ্দিনের বিনোদন দেখো সবাই,Chittagong,Chandpur,,Negative,0.3165943172268994,model,True
"সব কিছুর #বাজেট হলো, যে গুলোর বাজেট হয়নি, …",Dhaka,Barisal,Bhola,Sarcastic_negative,0.668430755068487,model,False
আমরা গর্বিত যে আমরা শালা উদ্দিনের মতন প্রধানমন্ত্রী পেয়েছি,Dhaka,Jamalpur,,Positive,0.4100968583865202,model,True
কবে যে এরা সত্তি কথা বলবে,Narsingdi,,,Sarcastic_negative,0.5667623637011135,model,False
এজন্য নিত্য প্রয়োজনীয় বিদ্যুৎ বিল ডবল করা হয়েছে,Chittagong,,,Sarcastic_negative,0.3690694105539446,model,True
"সালাউদ্দিন সাহেব কি স্বরাষ্ট্রমন্ত্রী, নাকি অর্থমন্ত্রী, কোনটার উনি দায়িত্ব পালন করে",Narsingdi,,,Positive,0.4044864175410405,model,True
"কোনো কিছুর দামই যদি বৃদ্ধি না করা হয়,তাহলে বিদ ্যুৎ বিলে কেন 1000টাকার বিল এই মাসে 3000টাকা আসল,,?",Chittagong,,,Negative,0.5754983420074843,model,False
তাহলে বিদ্যুতের বিল বাড়লো কেন,Chittagong,Rangamati,,Sarcastic_negative,0.5698265199170889,model,False
