dataset,dataset_slug,doc_id,raw_text,clean_text,dominant_topic,dominant_topic_prob
3 After Forming Government,3_after_forming_government,0,মূল গনতন্ত্র ফিরে পেয়েছে বাংলাদেশ।,মূল গনতন্ত্র ফিরে পেয়েছে বাংলাদেশ,4,0.7985971058132944
3 After Forming Government,3_after_forming_government,1,"নবনির্বাচিত সকল সম্মানিত এমপি মহোদয়দের জানাই আন্তরিক অভিনন্দন ও শুভেচ্ছা। আশা করি, আপনারা দেশের মানুষের প্রত্যাশা ও আস্থার প্রতিফলন ঘটিয়ে সংসদে নতুন দৃষ্টান্ত স্থাপন করবেন। আপনাদের সৎ নেতৃত্ব, দূরদর্শিতা ও জনকল্যাণমূলক কার্যক্রমের মাধ্যমে দেশ এগিয়ে যাবে উন্নয়ন ও সমৃদ্ধির পথে—এই প্রত্যাশাই রইল।",নবনির্বাচিত সকল সম্মানিত এমপি মহোদয়দের জানাই আন্তরিক অভিনন্দন ও শুভেচ্ছা আশা করি আপনারা দেশের মানুষের প্রত্যাশা ও আস্থার প্রতিফলন ঘটিয়ে সংসদে নতুন দৃষ্টান্ত স্থাপন করবেন আপনাদের সৎ নেতৃত্ব দূরদর্শিতা ও জনকল্যাণমূলক কার্যক্রমের মাধ্যমে দেশ এগিয়ে যাবে উন্নয়ন ও সমৃদ্ধির পথে এই প্রত্যাশাই রইল,4,0.696798125702803
3 After Forming Government,3_after_forming_government,2,দেড় বছর সরকার চালানোর পর এবার বিরোধীদলে যাচ্ছে জামায়াত -এনসিপি।,দেড় বছর সরকার চালানোর পর এবার বিরোধীদলে যাচ্ছে জামায়াত এনসিপি,2,0.9101058630245071
3 After Forming Government,3_after_forming_government,3,অভিনন্দন ও শুভকামনা রইল সেই সাথে দেশ দূরনীতি মুক্তর প্রত্যাশা রইলো।,অভিনন্দন ও শুভকামনা রইল সেই সাথে দেশ দূরনীতি মুক্তর প্রত্যাশা রইলো,3,0.8847487831384458
3 After Forming Government,3_after_forming_government,4,আলহামদুলিল্লাহ l,আলহামদুলিল্লাহ l,2,0.5999989241498305
3 After Forming Government,3_after_forming_government,5,শুভকামনা রইল l,শুভকামনা রইল l,3,0.7333303057945072
3 After Forming Government,3_after_forming_government,6,বাংলাদেশের স্বরাষ্ট্রমন্ত্রী কিন্তু ভারত,বাংলাদেশের স্বরাষ্ট্রমন্ত্রী কিন্তু ভারত,3,0.5989935449466776
3 After Forming Government,3_after_forming_government,7,সরকার গঠন করে,সরকার গঠন করে,2,0.7331375301008848
3 After Forming Government,3_after_forming_government,8,তারেক রহমানের,তারেক রহমানের,4,0.7328085666854274
3 After Forming Government,3_after_forming_government,9,বিরোধী দলীয় নেতাদের বাসায় সৌজন্য সাক্ষাৎ দেশের জন্য ইতিবাচক হবে বলে মনে করি ইনশাআল্লাহ।,বিরোধী দলীয় নেতাদের বাসায় সৌজন্য সাক্ষাৎ দেশের জন্য ইতিবাচক হবে বলে মনে করি ইনশাআল্লাহ,4,0.9182321266505972
3 After Forming Government,3_after_forming_government,10,আলহামদুলিল্লাহ,আলহামদুলিল্লাহ,2,0.5999989241498305
3 After Forming Government,3_after_forming_government,11,ব্রেকিং,ব্রেকিং,0,0.2
3 After Forming Government,3_after_forming_government,12,বিএনপি জুলাই এর সংবিধান সংস্কার পরিষদের শপথ নিচ্ছে না ।,বিএনপি জুলাই এর সংবিধান সংস্কার পরিষদের শপথ নিচ্ছে না,2,0.5352979755807362
3 After Forming Government,3_after_forming_government,13,- সালাউদ্দিন আহমেদ,সালাউদ্দিন আহমেদ,4,0.597616943781316
3 After Forming Government,3_after_forming_government,14,বাংলাদেশ আবার পথ হারালো হয়তো ।,বাংলাদেশ আবার পথ হারালো হয়তো,4,0.5998930803860321
3 After Forming Government,3_after_forming_government,15,"ক্রাস খায়েননা,যে ভাবে থাকি আছে আমাদের লিডার।",ক্রাস খায়েননা যে ভাবে থাকি আছে আমাদের লিডার,0,0.7980310150169531
3 After Forming Government,3_after_forming_government,16,এই-যে আপনাকে বলছি শুনোন শপথ সুন্দর ভাবে করুন দে-শ যেনো ভালো চলে,এই যে আপনাকে বলছি শুনোন শপথ সুন্দর ভাবে করুন দে শ যেনো ভালো চলে,2,0.7623182597610006
3 After Forming Government,3_after_forming_government,17,না হলে মন্ত্রী হিসেবে ব্যর্থ হবেন,না হলে মন্ত্রী হিসেবে ব্যর্থ হবেন,3,0.8382095777061637
3 After Forming Government,3_after_forming_government,18,দীর্ঘ প্রায় ২০ বছর পরে ক্ষমতায় যাচ্ছেন,দীর্ঘ প্রায় বছর পরে ক্ষমতায় যাচ্ছেন,2,0.5021833724698509
3 After Forming Government,3_after_forming_government,19,শুভকামনা রইল,শুভকামনা রইল,3,0.7333303057945072
3 After Forming Government,3_after_forming_government,20,বাংলাদেশের জাতি চুটিয়া জাতি এই জাতির ভাগ্য পরিবর্তন হবে না,বাংলাদেশের জাতি চুটিয়া জাতি এই জাতির ভাগ্য পরিবর্তন হবে না,3,0.8637731466209864
3 After Forming Government,3_after_forming_government,21,এত টুপি গেল কোথায়?,এত টুপি গেল কোথায়,0,0.7991124794114328
3 After Forming Government,3_after_forming_government,22,জুলাইয়ের সাথে বিম্পির গাদ্দারি,জুলাইয়ের সাথে বিম্পির গাদ্দারি,0,0.7326575542828062
3 After Forming Government,3_after_forming_government,23,জুলাই যোদ্ধা রা রেডি থাকো দেশে আরও একটা কঠিন থেকে কঠিন লড়াই হবে লড়াই,জুলাই যোদ্ধা রা রেডি থাকো দেশে আরও একটা কঠিন থেকে কঠিন লড়াই হবে লড়াই,4,0.5717722553232072
3 After Forming Government,3_after_forming_government,24,জুলাই এর হাতিয়ার গর্জে উঠোক আরেক বার,জুলাই এর হাতিয়ার গর্জে উঠোক আরেক বার,0,0.4345915859152683
3 After Forming Government,3_after_forming_government,25,পল্টি নেওয়া শুরু তাইলে..,পল্টি নেওয়া শুরু তাইলে,0,0.8395757623397379
3 After Forming Government,3_after_forming_government,26,এগিয়ে জান লিডার পুরা পৃথিবী আপনার বিপক্ষে থাকলেও আমি পৃথিবীর পক্ষে আছি,এগিয়ে জান লিডার পুরা পৃথিবী আপনার বিপক্ষে থাকলেও আমি পৃথিবীর পক্ষে আছি,0,0.9103090460767482
3 After Forming Government,3_after_forming_government,27,এইতো মাত্র লাইনে আসা শুরু করছে।,এইতো মাত্র লাইনে আসা শুরু করছে,4,0.6202714902926525
3 After Forming Government,3_after_forming_government,28,সামনে আরো ইন্টারেস্টিং কিছু অপেক্ষা করতেছে আশা করা যায়,সামনে আরো ইন্টারেস্টিং কিছু অপেক্ষা করতেছে আশা করা যায়,2,0.5649676973427787
3 After Forming Government,3_after_forming_government,29,"কারো কথাই, সমালোচনায় কান দিয়োনা , নিজে নিজে এগিয়ে যাও ভারতের দিকে",কারো কথাই সমালোচনায় কান দিয়োনা নিজে নিজে এগিয়ে যাও ভারতের দিকে,3,0.8993235791569569
3 After Forming Government,3_after_forming_government,30,পল্টি নেওয়া শুরু তাইলে.. সবাই মিলে মিশে থাকা উচিত,পল্টি নেওয়া শুরু তাইলে সবাই মিলে মিশে থাকা উচিত,0,0.9187939059897661
3 After Forming Government,3_after_forming_government,31,হাসু আপুর সংবিধানই থাকলে হাসু আপুই বৈধ প্রধানমন্ত্রী।,হাসু আপুর সংবিধানই থাকলে হাসু আপুই বৈধ প্রধানমন্ত্রী,4,0.6000705573918406
3 After Forming Government,3_after_forming_government,32,জুলাই আন্দোলনে কারনেই আজ BNP শপথ নিতে পেরেছে। নইলে “ঈদের পর আন্দোলন” বলে বলে বলে বলে ১৭ বছরের সাথে আর কত ১৭ বছর যেতো আল্লাহ জানেন ।,জুলাই আন্দোলনে কারনেই আজ bnp শপথ নিতে পেরেছে নইলে ঈদের পর আন্দোলন বলে বলে বলে বলে বছরের সাথে আর কত বছর যেতো আল্লাহ জানেন,2,0.6211853122172121
3 After Forming Government,3_after_forming_government,33,মন থেকে বিএনপিকে ধন্যবাদ জানাই এরকম যুগান্তকারী একটা সিদ্ধান্ত নেওয়ার জন্য,মন থেকে বিএনপিকে ধন্যবাদ জানাই এরকম যুগান্তকারী একটা সিদ্ধান্ত নেওয়ার জন্য,3,0.4846993719504448
3 After Forming Government,3_after_forming_government,34,১৯৯৬ সালে বিএনপি কত দিন ক্ষমতায় ছিল,সালে বিএনপি কত দিন ক্ষমতায় ছিল,1,0.8376063456759698
3 After Forming Government,3_after_forming_government,35,The Constitution of 1972 is the best in the entire world.,the constitution of is the best in the entire world,2,0.8999731044998794
3 After Forming Government,3_after_forming_government,36,"সমস্যা নাই বেইমানদের তো চিনলো জনগণ, খুব শীঘ্রই কিছু একটা ঘটতে যাচ্ছে।",সমস্যা নাই বেইমানদের তো চিনলো জনগণ খুব শীঘ্রই কিছু একটা ঘটতে যাচ্ছে,0,0.8387523096884679
3 After Forming Government,3_after_forming_government,37,"তাহলে তো হাসু আপার সংবিধানে তিনিই এখনো প্রধানমন্ত্রী, তাকে তার দায়িত্ব বুজিয়ে দেয়া হোক",তাহলে তো হাসু আপার সংবিধানে তিনিই এখনো প্রধানমন্ত্রী তাকে তার দায়িত্ব বুজিয়ে দেয়া হোক,4,0.9268393313030965
3 After Forming Government,3_after_forming_government,38,Think ache.polapainr kothai BNP cholbe naki,think ache polapainr kothai bnp cholbe naki,2,0.5999969399964111
3 After Forming Government,3_after_forming_government,39,সংস্কারের পক্ষে শপথ না নিলে মেয়াদ দিলাম সর্বোচ্চ ২বছর,সংস্কারের পক্ষে শপথ না নিলে মেয়াদ দিলাম সর্বোচ্চ বছর,2,0.6101352756716306
3 After Forming Government,3_after_forming_government,40,যুগের পরে যুগ ইতিহাসে লেখা আছে গাদ্দারী তো ওরাই করে যাদের অস্তিত্ব বিলিনের পথে যখন তারা স্বস্তি ফিরে পায়,যুগের পরে যুগ ইতিহাসে লেখা আছে গাদ্দারী তো ওরাই করে যাদের অস্তিত্ব বিলিনের পথে যখন তারা স্বস্তি ফিরে পায়,0,0.6261904676442918
3 After Forming Government,3_after_forming_government,41,"বিএনপি আওয়ামী লীগ ভাই ভাই, মিলেমিশে ভাগ করে খাই, তাই খাওয়ার জন্য সংস্করণ শপথ নিবে না",বিএনপি আওয়ামী লীগ ভাই ভাই মিলেমিশে ভাগ করে খাই তাই খাওয়ার জন্য সংস্করণ শপথ নিবে না,2,0.49654141185882666
3 After Forming Government,3_after_forming_government,42,ওরা চায় না সংস্কার হোক,ওরা চায় না সংস্কার হোক,4,0.8356853811442186
3 After Forming Government,3_after_forming_government,43,শনির দশার অপেক্ষায়,শনির দশার অপেক্ষায়,1,0.5997026160494802
3 After Forming Government,3_after_forming_government,44,জুলাই এর সঙ্গে বেইমানি করলে এদেশে আবারো জুলাই নেমে আসবে ইনশাআল্লাহ...,জুলাই এর সঙ্গে বেইমানি করলে এদেশে আবারো জুলাই নেমে আসবে ইনশাআল্লাহ,4,0.910847047946581
3 After Forming Government,3_after_forming_government,45,"এখানে এত অবাক হওয়ার কি আছে, বিনপি এমন পোল্টি মারবে তা তো সবার জানা থাকার কথা। নির্বাচন এ যা করছে তাতে না বুঝার কিছুই নাই এরা ভবিষ্যত এ ভালো কিছুই করবে না।",এখানে এত অবাক হওয়ার কি আছে বিনপি এমন পোল্টি মারবে তা তো সবার জানা থাকার কথা নির্বাচন এ যা করছে তাতে না বুঝার কিছুই নাই এরা ভবিষ্যত এ ভালো কিছুই করবে না,1,0.597000985546562
3 After Forming Government,3_after_forming_government,46,"মাহদী আগমন করেছেন, আজই তাঁর প্রতি আনুগত্য ও সমর্থনের অঙ্গীকার করুন!",মাহদী আগমন করেছেন আজই তাঁর প্রতি আনুগত্য ও সমর্থনের অঙ্গীকার করুন,2,0.8639559600231814
3 After Forming Government,3_after_forming_government,47,নবী মুহাম্মদ (সা. ও তাঁর পরিবার) বলেছেন:,নবী মুহাম্মদ সা ও তাঁর পরিবার বলেছেন,2,0.7318836700820349
3 After Forming Government,3_after_forming_government,48,"“যে ব্যক্তি তার সময়ের ইমামের প্রতি আনুগত্য (বাইআত) না করে মৃত্যুবরণ করে, সে জাহেলিয়াতের মৃত্যুবরণ করেছে।""",যে ব্যক্তি তার সময়ের ইমামের প্রতি আনুগত্য বাইআত না করে মৃত্যুবরণ করে সে জাহেলিয়াতের মৃত্যুবরণ করেছে,2,0.6865741313162279
3 After Forming Government,3_after_forming_government,49,YouTube : The Mahdi Has Appeared.,youtube the mahdi has appeared,2,0.5999957255001119
3 After Forming Government,3_after_forming_government,50,তাহলে এ নির্বাচনের মানে কি,তাহলে এ নির্বাচনের মানে কি,4,0.7987971592793769
3 After Forming Government,3_after_forming_government,51,শুরু হচ্ছে তাহলে,শুরু হচ্ছে তাহলে,0,0.7298638264659
3 After Forming Government,3_after_forming_government,52,"17 বছর পর ও কিন্ত আওয়ামীলীগ অপমানিত হয়ে দেশ ছাড়তে হইছে ,, এটা মাথায় রাখা ভাল,, না হলে ,,,Another terrible revolution awaits us",বছর পর ও কিন্ত আওয়ামীলীগ অপমানিত হয়ে দেশ ছাড়তে হইছে এটা মাথায় রাখা ভাল না হলে another terrible revolution awaits us,0,0.47829436647835516
3 After Forming Government,3_after_forming_government,53,Aita agai Jana silo Amon e hobe..,aita agai jana silo amon e hobe,0,0.5999932740989202
3 After Forming Government,3_after_forming_government,54,Ai karone BNP support korina,ai karone bnp support korina,2,0.40038801434357646
3 After Forming Government,3_after_forming_government,55,আরো কতো কি বাকি আছে সামনে ইনশাআল্লাহ,আরো কতো কি বাকি আছে সামনে ইনশাআল্লাহ,1,0.6987587266365901
3 After Forming Government,3_after_forming_government,56,১২ দিন পরে নিবে,দিন পরে নিবে,4,0.5985324715140913
3 After Forming Government,3_after_forming_government,57,"ওহ নো,,,",ওহ নো,0,0.2
3 After Forming Government,3_after_forming_government,58,জিনি খমতা দিতে পারে তিনি খমতা কেরেও নিতে পারে এটা নিয়ে চিন্তার কিছু নেই সকল খমতার মালিক হলো আল্লাহ নো টেনশোন,জিনি খমতা দিতে পারে তিনি খমতা কেরেও নিতে পারে এটা নিয়ে চিন্তার কিছু নেই সকল খমতার মালিক হলো আল্লাহ নো টেনশোন,4,0.917722343972897
3 After Forming Government,3_after_forming_government,59,ব্যাপারটা চুদলিং সং হয়ে গেলো ।,ব্যাপারটা চুদলিং সং হয়ে গেলো,1,0.7298845071708893
3 After Forming Government,3_after_forming_government,60,এটাকে বলে ইউ টার্ন 360°,এটাকে বলে ইউ টার্ন,0,0.59475088793787
3 After Forming Government,3_after_forming_government,61,শাবাশ,শাবাশ,0,0.2
3 After Forming Government,3_after_forming_government,62,"গুড ডিসিশন, বাঙ্গালীদের এভাবেই প্রতিদান দিতে হয়।",গুড ডিসিশন বাঙ্গালীদের এভাবেই প্রতিদান দিতে হয়,1,0.8376485948487427
3 After Forming Government,3_after_forming_government,63,আপনারা এগিয়ে যান আমি ফুল সাপোর্টে আছি,আপনারা এগিয়ে যান আমি ফুল সাপোর্টে আছি,3,0.8381244960271793
3 After Forming Government,3_after_forming_government,64,"দরকার হয় উচ্চ-কক্ষ বাতিল করেন আমি তাতেও রাজি।(এবার বুজবে মূর্খ বাঙালি কাদের ভোট দিছে,অশিক্ষিত বাঙালি)",দরকার হয় উচ্চ কক্ষ বাতিল করেন আমি তাতেও রাজি এবার বুজবে মূর্খ বাঙালি কাদের ভোট দিছে অশিক্ষিত বাঙালি,4,0.9182979739595003
3 After Forming Government,3_after_forming_government,65,ইন্ডিয়ার এজেন্ট পার্টি,ইন্ডিয়ার এজেন্ট পার্টি,3,0.7331358114224912
3 After Forming Government,3_after_forming_government,66,নিজের পায়ে নিজেরাই কুড়াল মারতেছে,নিজের পায়ে নিজেরাই কুড়াল মারতেছে,0,0.5495094096242875
3 After Forming Government,3_after_forming_government,67,আওয়ামীলীগ স্টাইলে খেলা শুরু,আওয়ামীলীগ স্টাইলে খেলা শুরু,0,0.7998935081309833
3 After Forming Government,3_after_forming_government,68,Agula re party Gali dei na amaro dekhbo koydin thake,agula re party gali dei na amaro dekhbo koydin thake,1,0.7999935086812027
3 After Forming Government,3_after_forming_government,69,asol rup ta dekhai dilo asar sathe sathei.,asol rup ta dekhai dilo asar sathe sathei,2,0.733326546544639
3 After Forming Government,3_after_forming_government,70,অবিলম্বে জুলাই আন্দোলনের সর্বস্তরের জনতা আবার ঐক্য হতে হবে বি এন পি নামক নব্য ফ্যাসিবাদের পতনের ডাক দিয়ে এদেশের মাটি কে পবিত্র করতে হবে। বি এন পি নয় জুলাই চাই। বি এন পি কে দায়িত্ব নিয়ে শাখা প্রশাখা গজানোর আগেই কেটে ফেলতে হবে।,অবিলম্বে জুলাই আন্দোলনের সর্বস্তরের জনতা আবার ঐক্য হতে হবে বি এন পি নামক নব্য ফ্যাসিবাদের পতনের ডাক দিয়ে এদেশের মাটি কে পবিত্র করতে হবে বি এন পি নয় জুলাই চাই বি এন পি কে দায়িত্ব নিয়ে শাখা প্রশাখা গজানোর আগেই কেটে ফেলতে হবে,1,0.6156996149159515
3 After Forming Government,3_after_forming_government,71,যারা জনগণের গনোভোটের রায়'কে মানে 'না তারা ই আবার জনগনের দিয়া ভোটে সংসদে যেতে চায় কেমনে?,যারা জনগণের গনোভোটের রায় কে মানে না তারা ই আবার জনগনের দিয়া ভোটে সংসদে যেতে চায় কেমনে,4,0.9370078308586529
3 After Forming Government,3_after_forming_government,72,আবারও পুনমারামারী শুরু গরি দিইয়ি..,আবারও পুনমারামারী শুরু গরি দিইয়ি,0,0.40061796220980367
3 After Forming Government,3_after_forming_government,73,গিরগিট এর মত ক্ষমতায় এসে রং দেখানো শুরু হয়ে গেছে,গিরগিট এর মত ক্ষমতায় এসে রং দেখানো শুরু হয়ে গেছে,0,0.726973364457638
3 After Forming Government,3_after_forming_government,74,সালারে কি পরিমানের বাটপারি করবে বুঝার বাকী নাই আর!,সালারে কি পরিমানের বাটপারি করবে বুঝার বাকী নাই আর,0,0.7326594129058471
3 After Forming Government,3_after_forming_government,75,পল্টি নিলো জাতির সাথে বেইমানি,পল্টি নিলো জাতির সাথে বেইমানি,0,0.5499117316410587
3 After Forming Government,3_after_forming_government,76,পল্টি বাজ,পল্টি বাজ,0,0.7327482919148445
3 After Forming Government,3_after_forming_government,77,কোটা না মেধা,কোটা না মেধা,1,0.7321805492478012
3 After Forming Government,3_after_forming_government,78,মেধা মেধা।,মেধা মেধা,1,0.7333178358640026
3 After Forming Government,3_after_forming_government,79,সঠিক সিদ্ধান্ত ধন্যবাদ সরকার কে।,সঠিক সিদ্ধান্ত ধন্যবাদ সরকার কে,4,0.8377007915663353
3 After Forming Government,3_after_forming_government,80,শপথ নেয়ার কি আছে জুলাই সনদ এটা চলমান প্রক্রিয়া,শপথ নেয়ার কি আছে জুলাই সনদ এটা চলমান প্রক্রিয়া,4,0.5492008996755012
3 After Forming Government,3_after_forming_government,81,বিএনপিকে স্যালুট জানাই।,বিএনপিকে স্যালুট জানাই,4,0.798533384814147
