dataset,dataset_slug,doc_id,raw_text,clean_text,dominant_topic,dominant_topic_prob
4 June 2026,4_june_2026,0,আমাদের অফিসিয়াল টেলিগ্রাম চ্যানেল : https://t.me/asiapostupdate,আমাদের অফিসিয়াল টেলিগ্রাম চ্যানেল,0,0.2
4 June 2026,4_june_2026,1,ভ্যানওয়ালা তো হিরো হয়ে গেল।,ভ্যানওয়ালা তো হিরো হয়ে গেল,3,0.5500442223805955
4 June 2026,4_june_2026,2,বাহ্ ভাই বাহ্,বাহ্ ভাই বাহ্,0,0.7995492520188624
4 June 2026,4_june_2026,3,"ওই ছাত্ররা যেভাবে ছাত্রীদের জন্য এতো কিছু করছে, জল কমতে কমতে বেশ কিছু শালিক নতুন জোড়া বাঁধতে পারে",ওই ছাত্ররা যেভাবে ছাত্রীদের জন্য এতো কিছু করছে জল কমতে কমতে বেশ কিছু শালিক নতুন জোড়া বাঁধতে পারে,2,0.8394876405451427
4 June 2026,4_june_2026,4,এমন বৃষ্টি বাদলের দিনে মজাই আলাদা ক্লাস করতে ভিজে ভিজে বাড়ি ফিরতে,এমন বৃষ্টি বাদলের দিনে মজাই আলাদা ক্লাস করতে ভিজে ভিজে বাড়ি ফিরতে,2,0.8986379010738469
4 June 2026,4_june_2026,5,ঢাকা শহর থেকে ভ্যান উঠায় দেওয়া হোক কোনো ভ্যান চলবে না শুধু বাস চলবে,ঢাকা শহর থেকে ভ্যান উঠায় দেওয়া হোক কোনো ভ্যান চলবে না শুধু বাস চলবে,2,0.7971453890406396
4 June 2026,4_june_2026,6,গাড়ীর বদলে নৌকা বা লঞ্চ নিয়া চলাচল করলেই তো হয়।,গাড়ীর বদলে নৌকা বা লঞ্চ নিয়া চলাচল করলেই তো হয়,3,0.4597740209497018
4 June 2026,4_june_2026,7,লেখাপড়ার জন্য তারা যায়নি গিয়েছে মজা করার জন্য এটাই বর্ষা মৌসুমের কলেজের মজা।,লেখাপড়ার জন্য তারা যায়নি গিয়েছে মজা করার জন্য এটাই বর্ষা মৌসুমের কলেজের মজা,0,0.8650154454214081
4 June 2026,4_june_2026,8,কয়েকটা নৌকা দিলেই হয়,কয়েকটা নৌকা দিলেই হয়,2,0.40002984440009054
4 June 2026,4_june_2026,9,এরাই আসল শিক্ষার্থী,এরাই আসল শিক্ষার্থী,3,0.5970121727002635
4 June 2026,4_june_2026,10,সবকটা নিজেদের গার্লফ্রেন্ডকে উদ্ধার করলো!,সবকটা নিজেদের গার্লফ্রেন্ডকে উদ্ধার করলো,1,0.7953488461215485
4 June 2026,4_june_2026,11,আলহামদুলিল্লাহ,আলহামদুলিল্লাহ,4,0.5999973258708083
4 June 2026,4_june_2026,12,"জলে যানবাহন চলে, আকাশে নৌকা উড়ে",জলে যানবাহন চলে আকাশে নৌকা উড়ে,2,0.7302740934842653
