dataset,doc_id,raw_text,clean_text,dominant_topic,dominant_topic_prob
After Election,0,ইশরাক এর কতবার ভোট চুরি করতে হবে?,ইশরাক এর কতবার ভোট চুরি করতে হবে,3,0.7981425124489798
After Election,1,বিএনপির একটু বেশি বাড়াবাড়ি হয়ে যাচ্ছে মনে হয় আঙুলের কালি উঠে যাওয়া আগেই ক্ষমতা জয় বাংলা হয়ে যাবে,বিএনপির একটু বেশি বাড়াবাড়ি হয়ে যাচ্ছে মনে হয় আঙুলের কালি উঠে যাওয়া আগেই ক্ষমতা জয় বাংলা হয়ে যাবে,1,0.9093130663756532
After Election,2,সামনের দরজা দিয়ে ডুকিয়ে পিছনের দরজা দিয়ে বাহির করার নামই বি এন পির গুলামি কারা,সামনের দরজা দিয়ে ডুকিয়ে পিছনের দরজা দিয়ে বাহির করার নামই বি এন পির গুলামি কারা,2,0.7994683493213692
After Election,3,"তাহলে কি দাঁড়ালো আইন তার নিজস্ব গতিতে চলল না,,, যখন যে দল ক্ষমতায় তার দলে চলবে,,,",তাহলে কি দাঁড়ালো আইন তার নিজস্ব গতিতে চলল না যখন যে দল ক্ষমতায় তার দলে চলবে,1,0.5496460794586141
After Election,4,"লাভ নাই,,,ইশরাক কাকু উইন",লাভ নাই ইশরাক কাকু উইন,2,0.7291616747649201
After Election,5,বিপ্লব যে সামনে আর একটা এতে কোনো সন্দেহ নেই।,বিপ্লব যে সামনে আর একটা এতে কোনো সন্দেহ নেই,2,0.5999613054468034
After Election,6,"যে দেশের বিচার আর শাসন ব্যবস্থা রাজনৈতিক ভাবে হয়, সে দেশে কখনোই কাঙ্খিত বিচার সাধারন জনগন পাবে না",যে দেশের বিচার আর শাসন ব্যবস্থা রাজনৈতিক ভাবে হয় সে দেশে কখনোই কাঙ্খিত বিচার সাধারন জনগন পাবে না,3,0.7962652199517123
After Election,8,"নির্বাচন পরবর্তী একেকটা কর্মকাণ্ড দিয়ে বিএনপি বারবার প্রমাণ করেছে তারা জাতীয় বেইমান। তারা বেইমানি করছে জুলাই অভ্যুত্থানের শহীদদের সাথে, তারা বেইমানি করছে পুরা জাতির সাথে।",নির্বাচন পরবর্তী একেকটা কর্মকাণ্ড দিয়ে বিএনপি বারবার প্রমাণ করেছে তারা জাতীয় বেইমান তারা বেইমানি করছে জুলাই অভ্যুত্থানের শহীদদের সাথে তারা বেইমানি করছে পুরা জাতির সাথে,0,0.8993523395234596
After Election,9,দিল্লির এজেন্ডা বাস্তবায়ন করা হচ্ছে,দিল্লির এজেন্ডা বাস্তবায়ন করা হচ্ছে,0,0.5999624300146501
After Election,10,জুলাই হত্যাকান্ড আর গুমের বিচারের আপাতত এখানেই সমাপ্তি লোকদেখানো কিছু ট্রায়াল হতে পারে,জুলাই হত্যাকান্ড আর গুমের বিচারের আপাতত এখানেই সমাপ্তি লোকদেখানো কিছু ট্রায়াল হতে পারে,1,0.7278150319655543
After Election,11,জামায়াত বসিয়েছিল এখন বিএনপি সরিয়ে দিয়েছে সহজ কথা।,জামায়াত বসিয়েছিল এখন বিএনপি সরিয়ে দিয়েছে সহজ কথা,3,0.5935489440073796
After Election,12,সমঝোতার বাংলাদেশে আপনাকে স্বাগতম।।,সমঝোতার বাংলাদেশে আপনাকে স্বাগতম,0,0.599976158919217
After Election,13,তারেক রহমান কি করতে চায় সেটা দেখা যাক,তারেক রহমান কি করতে চায় সেটা দেখা যাক,3,0.8388253943145344
After Election,14,বিএনপির কাছে ভালো ও সৎ লোকের জায়গা নেই। শুরুতে বেইমানি।,বিএনপির কাছে ভালো ও সৎ লোকের জায়গা নেই শুরুতে বেইমানি,0,0.8640850873787195
After Election,15,"জুলাইয়ের গণঅভ্যুত্থান ভুল ছিলো কুকুরের লেজ কখনো সোজা হয় না, সাধারণ মানুষের লাসের উপর প্রধানমন্ত্রী হয়ে এখন তাদের ই চিনে না",জুলাইয়ের গণঅভ্যুত্থান ভুল ছিলো কুকুরের লেজ কখনো সোজা হয় না সাধারণ মানুষের লাসের উপর প্রধানমন্ত্রী হয়ে এখন তাদের ই চিনে না,1,0.7327851054796742
After Election,16,অদৃশ্য শক্তি কাজ করতেছে প্রশাসনে,অদৃশ্য শক্তি কাজ করতেছে প্রশাসনে,3,0.7295091441160282
After Election,17,লায়ক লন্ডনে বসে যুদ্ধ করছে,লায়ক লন্ডনে বসে যুদ্ধ করছে,0,0.2
After Election,18,নায়ক নিজেই জানেননা উনি নায়ক ওয়াও!,নায়ক নিজেই জানেননা উনি নায়ক ওয়াও,1,0.7333172419022553
After Election,19,আলোচনায় আসার কত ধান্দা,আলোচনায় আসার কত ধান্দা,0,0.7992432729554049
After Election,20,চলিতেছে সার্কাস,চলিতেছে সার্কাস,0,0.2
After Election,21,এসব না করে চাঁদাবাজী বন্ধ করেন আর জনগণের হ্যা ভোট মেনে নেন।,এসব না করে চাঁদাবাজী বন্ধ করেন আর জনগণের হ্যা ভোট মেনে নেন,3,0.7986871363988176
After Election,22,কত নাটক।,কত নাটক,4,0.7322541091919086
After Election,23,একদিকে ভদ্রতার মুখোশ অন্যদিকে ষড়যন্ত্রের আর দলীয় করন এসব জাতির সাথে প্রতারণার শামিল।,একদিকে ভদ্রতার মুখোশ অন্যদিকে ষড়যন্ত্রের আর দলীয় করন এসব জাতির সাথে প্রতারণার শামিল,3,0.7306088204498328
After Election,24,প্রথম প্রথম অনেক কিছুই দেখা যায়,প্রথম প্রথম অনেক কিছুই দেখা যায়,3,0.7999886047947868
After Election,25,"কোমরের হাড্ডি তো ঠিক থাকতে হবে, শক্ত চেয়ারে বসবে কিভাবে, সেনা বাহিনী যেই মাইরটা দিয়েছিল,",কোমরের হাড্ডি তো ঠিক থাকতে হবে শক্ত চেয়ারে বসবে কিভাবে সেনা বাহিনী যেই মাইরটা দিয়েছিল,3,0.7991071444218039
After Election,26,ইন্ডিয়ার মোদীর মতন লোক দেখানো কাজ করে তারেক রহমান,ইন্ডিয়ার মোদীর মতন লোক দেখানো কাজ করে তারেক রহমান,0,0.5303515094476193
After Election,27,জামায়াতের আমীরের কাছ থেকে অনুপ্রেরণা পেয়েছে,জামায়াতের আমীরের কাছ থেকে অনুপ্রেরণা পেয়েছে,2,0.5999613173745497
After Election,28,কয়লা ধুলে কি ময়লা যায়,কয়লা ধুলে কি ময়লা যায়,0,0.2
After Election,29,"কোমর টা ভেংগে দিছে সবাই কি সেটা ভুলে গেছে,সাপোর্ট চেয়ার",কোমর টা ভেংগে দিছে সবাই কি সেটা ভুলে গেছে সাপোর্ট চেয়ার,0,0.7322369911948654
After Election,30,ফোকাসে আসার লাইগা কত ধান্দা,ফোকাসে আসার লাইগা কত ধান্দা,0,0.7992432729554049
After Election,31,নাটক কম কর প্রিয়,নাটক কম কর প্রিয়,4,0.5999763822211854
After Election,32,ঋণখেলাপির তালিকার শীর্ষে যে সকল এমপি তাহাদের নিয়ে বলেন,ঋণখেলাপির তালিকার শীর্ষে যে সকল এমপি তাহাদের নিয়ে বলেন,0,0.2
After Election,33,অভিনয়ে সেরা,অভিনয়ে সেরা,0,0.2
After Election,34,বিশ্ব রেকর্ড হয়ে গেছে অলরেডি গিনেসরেকর্ড,বিশ্ব রেকর্ড হয়ে গেছে অলরেডি গিনেসরেকর্ড,0,0.2
After Election,35,ছাতার পেধান মন্ত্রী,ছাতার পেধান মন্ত্রী,0,0.2
After Election,36,টয়লেট এ যাওয়ার নিউজ টাও দিস,টয়লেট এ যাওয়ার নিউজ টাও দিস,0,0.2
After Election,37,জাইমা রহমান হাটতেও পারে আগেতো জানতাম না,জাইমা রহমান হাটতেও পারে আগেতো জানতাম না,3,0.7316939032561514
After Election,38,পরিবার তন্ত্র হচ্ছে না তো ভালো লাগতো জুবায়ের রহমানকে দেখলে,পরিবার তন্ত্র হচ্ছে না তো ভালো লাগতো জুবায়ের রহমানকে দেখলে,0,0.7322764656293596
After Election,39,পারিবারিক তান্ত্রিক বানায় ফালাইতেছে রাষ্ট্রীয় যে কোন কাজকর্মকে,পারিবারিক তান্ত্রিক বানায় ফালাইতেছে রাষ্ট্রীয় যে কোন কাজকর্মকে,4,0.599962782845936
After Election,40,বিএনপি'র দল টাকে চট্টগ্রামের গডফাদার সালাউদ্দিন আহমেদ শেষ করে দিল,বিএনপি র দল টাকে চট্টগ্রামের গডফাদার সালাউদ্দিন আহমেদ শেষ করে দিল,4,0.7969811016277135
After Election,41,ম্যানেজ প্রধানমন্ত্রী,ম্যানেজ প্রধানমন্ত্রী,1,0.599398232145422
After Election,42,বাংলাদেশের ইতিহাসে সবচেয়ে নিকৃষ্ট অশিক্ষিত বর্বর মন্ত্রীসভা,বাংলাদেশের ইতিহাসে সবচেয়ে নিকৃষ্ট অশিক্ষিত বর্বর মন্ত্রীসভা,3,0.729200044717624
After Election,43,বাটপারে বাটপারে মাসতুতো ভাই,বাটপারে বাটপারে মাসতুতো ভাই,0,0.5999825599140485
After Election,44,বিম্পির আমলে প্রথম ভূমিকম্প টের পাইলাম,বিম্পির আমলে প্রথম ভূমিকম্প টের পাইলাম,3,0.5999824494324845
After Election,45,"প্রধানমন্ত্রী নিজে ইন্টার পাশ, ধইরা আনে কতগুলা ডিগ্রি পাশ রে",প্রধানমন্ত্রী নিজে ইন্টার পাশ ধইরা আনে কতগুলা ডিগ্রি পাশ রে,1,0.866630691958267
After Election,46,উনি নিজে হলেন এইচএসসি পাস।তো উনি যদি সবজায়গা যোগ্য লোককে বসান তাহলে ওনাকেই তো দাম দিবেনা,উনি নিজে হলেন এইচএসসি পাস তো উনি যদি সবজায়গা যোগ্য লোককে বসান তাহলে ওনাকেই তো দাম দিবেনা,1,0.8857083051469709
After Election,47,"কারন তিনিই তো ইন্টারপাশ, তাই উচ্চশিক্ষিত কাউকে রাখতে চাচ্ছেন নাহ হয়তো",কারন তিনিই তো ইন্টারপাশ তাই উচ্চশিক্ষিত কাউকে রাখতে চাচ্ছেন নাহ হয়তো,4,0.5986728528699166
After Election,48,যে দেশে ইন্টার পাশ লোক হয়ে প্রধানমন্ত্রী ওই দেশে এফসিএ পাস লোক বাংলাদেশ ব্যাংকের গভর্নর হওয়াটাই তো বিলাসিতা!,যে দেশে ইন্টার পাশ লোক হয়ে প্রধানমন্ত্রী ওই দেশে এফসিএ পাস লোক বাংলাদেশ ব্যাংকের গভর্নর হওয়াটাই তো বিলাসিতা,1,0.9383347021087372
After Election,49,লুটে খাবে,লুটে খাবে,2,0.5999613208994858
After Election,50,লুট করবে চোখবন্ধ করে,লুট করবে চোখবন্ধ করে,0,0.2
After Election,51,প্রতিটি মন্ত্রণালয়ে নিজের লেভেলের গরু ছাগল হাঁস মুরগি বসাইতেছে শেষ রাতে মাইর টা খাওয়ার জন্য আর কি,প্রতিটি মন্ত্রণালয়ে নিজের লেভেলের গরু ছাগল হাঁস মুরগি বসাইতেছে শেষ রাতে মাইর টা খাওয়ার জন্য আর কি,1,0.8381046901220616
After Election,53,আই হ্যাভ এ খাম্বা,আই হ্যাভ এ খাম্বা,1,0.5992609701828521
After Election,54,নূরে টিয়া জালালি হিয়া মুফতী লন্ডনী পীরে খাম্বা,নূরে টিয়া জালালি হিয়া মুফতী লন্ডনী পীরে খাম্বা,1,0.5992609701828521
After Election,55,"ঋন খেলাপিরাই এখন ব্যাংকের গভর্নর ,,",ঋন খেলাপিরাই এখন ব্যাংকের গভর্নর,1,0.7333172523507978
After Election,56,বাংলাদেশ ব্যাংক দেউলিয়া হবার পালা,বাংলাদেশ ব্যাংক দেউলিয়া হবার পালা,4,0.7991068041586534
After Election,57,গভর্নর নিজেই না-কি ঋণখেলাপি,গভর্নর নিজেই না কি ঋণখেলাপি,1,0.7999871150413218
After Election,58,ব্যাংক এবার জয় বাংলা হবে,ব্যাংক এবার জয় বাংলা হবে,4,0.839555030665457
After Election,59,এক জন ঋণখেলাপি কে গভর্নর পদে নিয়োগ,এক জন ঋণখেলাপি কে গভর্নর পদে নিয়োগ,1,0.7333172510875976
After Election,60,তেনা ব্যবসায়ী থেকে বাংলাদেশ ব্যাংক এর আব্বা,তেনা ব্যবসায়ী থেকে বাংলাদেশ ব্যাংক এর আব্বা,4,0.798596917799347
After Election,61,ইন্টারপাশ নেতার কাছে এরচেয়ে বেশি যোগ্যতাসম্পন্ন লোক আছে বলে মনে হয় না,ইন্টারপাশ নেতার কাছে এরচেয়ে বেশি যোগ্যতাসম্পন্ন লোক আছে বলে মনে হয় না,4,0.883534130930454
After Election,62,তারেক রহমানের চমক এস আলম কোম্পানির আসছে বাংলাদেশ কাপছে,তারেক রহমানের চমক এস আলম কোম্পানির আসছে বাংলাদেশ কাপছে,1,0.7988865736287408
After Election,63,সব কিছু ই সমঝোতার ভিত্তিতে হইছে,সব কিছু ই সমঝোতার ভিত্তিতে হইছে,0,0.733315543919453
After Election,64,সমমান পাশ সমমান কেই টানবে এটাই সাভাবিক,সমমান পাশ সমমান কেই টানবে এটাই সাভাবিক,1,0.5999902243178874
After Election,65,নিজের শিক্ষার দৌড় যতটুকু ঐ রকম শিক্ষিত লোক বসাচ্ছে সব জায়গায়।,নিজের শিক্ষার দৌড় যতটুকু ঐ রকম শিক্ষিত লোক বসাচ্ছে সব জায়গায়,1,0.7331646128039817
After Election,66,ইন্টার পাশের দৃষ্টিতে দেখলে অনেক বিদ্বান,ইন্টার পাশের দৃষ্টিতে দেখলে অনেক বিদ্বান,1,0.4006809401136504
After Election,67,মানি লন্ডারিংয়ে যিনি ভালো মতো করতে পারবেন তাকেই তো রাখা হবে,মানি লন্ডারিংয়ে যিনি ভালো মতো করতে পারবেন তাকেই তো রাখা হবে,2,0.7286845278036956
After Election,68,অশিক্ষিত লোকের অশিক্ষিত সিদ্ধান্ত,অশিক্ষিত লোকের অশিক্ষিত সিদ্ধান্ত,2,0.7991106971149035
After Election,69,ইন্টারপাশ চোদানির সাগরেদ তো ওর মত মূর্খই হবে নাকি?,ইন্টারপাশ চোদানির সাগরেদ তো ওর মত মূর্খই হবে নাকি,3,0.7974881379183495
After Election,70,ডিসি মাসুদ ওরফে নতুন হারুনের সাজানো নাটক,ডিসি মাসুদ ওরফে নতুন হারুনের সাজানো নাটক,4,0.7998200740979446
After Election,71,ইশরাক রে আমার পিউর জোকার লাগে,ইশরাক রে আমার পিউর জোকার লাগে,0,0.7314110552189241
After Election,72,বাপের পরিচয়ে এই পর্যন্ত।নিজের ব্যক্তিগত অর্জন কি??,বাপের পরিচয়ে এই পর্যন্ত নিজের ব্যক্তিগত অর্জন কি,1,0.5999759358365331
After Election,73,মির্জা আব্বাসের দিন শেষ এবার ইশরাকের পালা,মির্জা আব্বাসের দিন শেষ এবার ইশরাকের পালা,4,0.799784866920549
After Election,74,চিল্লায়া বাজার পাওন যাইত না রে পাগলা!,চিল্লায়া বাজার পাওন যাইত না রে পাগলা,4,0.8666568044065496
After Election,75,"কুনুই যোদ্ধা, ঘেরাও নেতা।",কুনুই যোদ্ধা ঘেরাও নেতা,2,0.5999613242540001
After Election,76,চিল্লায়া বাজার পাওন যাইত না রে পাগলা!,চিল্লায়া বাজার পাওন যাইত না রে পাগলা,4,0.8666568044065496
After Election,77,বিএনপি'র এইসব নেতাকর্মী রা কনডম বিস্ফোরণে জন্ম নেওয়া,বিএনপি র এইসব নেতাকর্মী রা কনডম বিস্ফোরণে জন্ম নেওয়া,4,0.7306169775672849
