dataset,dataset_slug,doc_id,raw_text,clean_text,dominant_topic,dominant_topic_prob
After Election,after_election,0,জিলাপি আছে নাকি?,জিলাপি আছে নাকি,2,0.7326632167183984
After Election,after_election,1,"Anayet Ahamed: জি ভাই, পুরো ইফতারের সামগ্রী ছিল!!",anayet ahamed জি ভাই পুরো ইফতারের সামগ্রী ছিল,1,0.8997527881286534
After Election,after_election,2,দাঁড়িপাল্লার জয় হবে ইনশাআল্লাহ।,দাঁড়িপাল্লার জয় হবে ইনশাআল্লাহ,0,0.799980710056188
After Election,after_election,3,"হ, ঈদের দিন আজ।",হ ঈদের দিন আজ,3,0.5999969628342516
After Election,after_election,4,সবার আগে বাংলাদেশ।,সবার আগে বাংলাদেশ,4,0.5985163470985898
After Election,after_election,5,ঢাকা ৪,ঢাকা,2,0.5962451658024672
After Election,after_election,6,ঢাকা ১৩,ঢাকা,2,0.5962451658024672
After Election,after_election,7,হাতিয়া ৬,হাতিয়া,4,0.5967241968101029
After Election,after_election,8,গাজীপুর ৩,গাজীপুর,0,0.2
After Election,after_election,9,ভোট চুরির খবর অলরেডি পাওয়া যাচ্ছে। প্রশাসন নিরব ভূমিকা পালন করতাছে।,ভোট চুরির খবর অলরেডি পাওয়া যাচ্ছে প্রশাসন নিরব ভূমিকা পালন করতাছে,3,0.6061063488560419
After Election,after_election,10,দালাল নিউজ এগুলো কই??,দালাল নিউজ এগুলো কই,1,0.3861906336339117
After Election,after_election,11,দুর্নীতিবাজদের রুখে দাও।,দুর্নীতিবাজদের রুখে দাও,0,0.7324079857716644
After Election,after_election,12,দাঁড়িপাল্লায় ভোট দাও।,দাঁড়িপাল্লায় ভোট দাও,4,0.7985312587303984
After Election,after_election,13,"আপনার মূল্যবান ভোটটি, ইনসাফের বাংলাদেশ গড়ার লক্ষ্যে, দাঁড়িপাল্লায় দিন।",আপনার মূল্যবান ভোটটি ইনসাফের বাংলাদেশ গড়ার লক্ষ্যে দাঁড়িপাল্লায় দিন,4,0.8381244735931077
After Election,after_election,14,ইউরোপ-আমেরিকা-জাপান এক ই অক্ষ শক্তি।,ইউরোপ আমেরিকা জাপান এক ই অক্ষ শক্তি,2,0.5999866131316132
