dataset,dataset_slug,doc_id,raw_text,clean_text,dominant_topic,dominant_topic_prob
After Forming Government,after_forming_government,0,মূল গনতন্ত্র ফিরে পেয়েছে বাংলাদেশ।,মূল গনতন্ত্র ফিরে পেয়েছে বাংলাদেশ,0,0.7954923476669815
After Forming Government,after_forming_government,1,"নবনির্বাচিত সকল সম্মানিত এমপি মহোদয়দের জানাই আন্তরিক অভিনন্দন ও শুভেচ্ছা। আশা করি, আপনারা দেশের মানুষের প্রত্যাশা ও আস্থার প্রতিফলন ঘটিয়ে সংসদে নতুন দৃষ্টান্ত স্থাপন করবেন। আপনাদের সৎ নেতৃত্ব, দূরদর্শিতা ও জনকল্যাণমূলক কার্যক্রমের মাধ্যমে দেশ এগিয়ে যাবে উন্নয়ন ও সমৃদ্ধির পথে—এই প্রত্যাশাই রইল।",নবনির্বাচিত সকল সম্মানিত এমপি মহোদয়দের জানাই আন্তরিক অভিনন্দন ও শুভেচ্ছা আশা করি আপনারা দেশের মানুষের প্রত্যাশা ও আস্থার প্রতিফলন ঘটিয়ে সংসদে নতুন দৃষ্টান্ত স্থাপন করবেন আপনাদের সৎ নেতৃত্ব দূরদর্শিতা ও জনকল্যাণমূলক কার্যক্রমের মাধ্যমে দেশ এগিয়ে যাবে উন্নয়ন ও সমৃদ্ধির পথে এই প্রত্যাশাই রইল,1,0.4324771252149562
After Forming Government,after_forming_government,2,দেড় বছর সরকার চালানোর পর এবার বিরোধীদলে যাচ্ছে জামায়াত -এনসিপি।,দেড় বছর সরকার চালানোর পর এবার বিরোধীদলে যাচ্ছে জামায়াত এনসিপি,1,0.8980213422323451
After Forming Government,after_forming_government,3,অভিনন্দন ও শুভকামনা রইল সেই সাথে দেশ দূরনীতি মুক্তর প্রত্যাশা রইলো।,অভিনন্দন ও শুভকামনা রইল সেই সাথে দেশ দূরনীতি মুক্তর প্রত্যাশা রইলো,1,0.8852975212571426
After Forming Government,after_forming_government,4,আলহামদুলিল্লাহ l,আলহামদুলিল্লাহ l,1,0.5999985657252962
After Forming Government,after_forming_government,5,শুভকামনা রইল l,শুভকামনা রইল l,1,0.7332163380012224
After Forming Government,after_forming_government,6,বাংলাদেশের স্বরাষ্ট্রমন্ত্রী কিন্তু ভারত,বাংলাদেশের স্বরাষ্ট্রমন্ত্রী কিন্তু ভারত,2,0.5970728128389364
After Forming Government,after_forming_government,7,সরকার গঠন করে,সরকার গঠন করে,4,0.7326374718301881
After Forming Government,after_forming_government,8,তারেক রহমানের,তারেক রহমানের,2,0.7331593713945492
After Forming Government,after_forming_government,9,বিরোধী দলীয় নেতাদের বাসায় সৌজন্য সাক্ষাৎ দেশের জন্য ইতিবাচক হবে বলে মনে করি ইনশাআল্লাহ।,বিরোধী দলীয় নেতাদের বাসায় সৌজন্য সাক্ষাৎ দেশের জন্য ইতিবাচক হবে বলে মনে করি ইনশাআল্লাহ,3,0.41113298935042913
After Forming Government,after_forming_government,10,আলহামদুলিল্লাহ,আলহামদুলিল্লাহ,1,0.5999985657252962
After Forming Government,after_forming_government,11,ব্রেকিং,ব্রেকিং,0,0.2
After Forming Government,after_forming_government,12,বিএনপি জুলাই এর সংবিধান সংস্কার পরিষদের শপথ নিচ্ছে না ।,বিএনপি জুলাই এর সংবিধান সংস্কার পরিষদের শপথ নিচ্ছে না,4,0.899735609135733
After Forming Government,after_forming_government,13,- সালাউদ্দিন আহমেদ,সালাউদ্দিন আহমেদ,1,0.7292891910334729
After Forming Government,after_forming_government,14,বাংলাদেশ আবার পথ হারালো হয়তো ।,বাংলাদেশ আবার পথ হারালো হয়তো,1,0.6111882127457555
After Forming Government,after_forming_government,15,"ক্রাস খায়েননা,যে ভাবে থাকি আছে আমাদের লিডার।",ক্রাস খায়েননা যে ভাবে থাকি আছে আমাদের লিডার,2,0.4949088855288743
After Forming Government,after_forming_government,16,এই-যে আপনাকে বলছি শুনোন শপথ সুন্দর ভাবে করুন দে-শ যেনো ভালো চলে,এই যে আপনাকে বলছি শুনোন শপথ সুন্দর ভাবে করুন দে শ যেনো ভালো চলে,2,0.46449024623265783
After Forming Government,after_forming_government,17,না হলে মন্ত্রী হিসেবে ব্যর্থ হবেন,না হলে মন্ত্রী হিসেবে ব্যর্থ হবেন,4,0.8389312447231846
After Forming Government,after_forming_government,18,দীর্ঘ প্রায় ২০ বছর পরে ক্ষমতায় যাচ্ছেন,দীর্ঘ প্রায় বছর পরে ক্ষমতায় যাচ্ছেন,4,0.7325064282292312
After Forming Government,after_forming_government,19,শুভকামনা রইল,শুভকামনা রইল,1,0.7332163380012224
After Forming Government,after_forming_government,20,বাংলাদেশের জাতি চুটিয়া জাতি এই জাতির ভাগ্য পরিবর্তন হবে না,বাংলাদেশের জাতি চুটিয়া জাতি এই জাতির ভাগ্য পরিবর্তন হবে না,4,0.8645259783489232
After Forming Government,after_forming_government,21,এত টুপি গেল কোথায়?,এত টুপি গেল কোথায়,2,0.5199596056881265
After Forming Government,after_forming_government,22,জুলাইয়ের সাথে বিম্পির গাদ্দারি,জুলাইয়ের সাথে বিম্পির গাদ্দারি,2,0.7985152879288294
After Forming Government,after_forming_government,24,জুলাই যোদ্ধা রা রেডি থাকো দেশে আরও একটা কঠিন থেকে কঠিন লড়াই হবে লড়াই,জুলাই যোদ্ধা রা রেডি থাকো দেশে আরও একটা কঠিন থেকে কঠিন লড়াই হবে লড়াই,3,0.9260864888024922
After Forming Government,after_forming_government,25,জুলাই এর হাতিয়ার গর্জে উঠোক আরেক বার,জুলাই এর হাতিয়ার গর্জে উঠোক আরেক বার,0,0.8636489170624175
After Forming Government,after_forming_government,26,পল্টি নেওয়া শুরু তাইলে..,পল্টি নেওয়া শুরু তাইলে,2,0.839728763233064
After Forming Government,after_forming_government,27,এগিয়ে জান লিডার পুরা পৃথিবী আপনার বিপক্ষে থাকলেও আমি পৃথিবীর পক্ষে আছি,এগিয়ে জান লিডার পুরা পৃথিবী আপনার বিপক্ষে থাকলেও আমি পৃথিবীর পক্ষে আছি,4,0.8828985176981567
After Forming Government,after_forming_government,28,এইতো মাত্র লাইনে আসা শুরু করছে।,এইতো মাত্র লাইনে আসা শুরু করছে,2,0.8392086866762345
After Forming Government,after_forming_government,29,সামনে আরো ইন্টারেস্টিং কিছু অপেক্ষা করতেছে আশা করা যায়,সামনে আরো ইন্টারেস্টিং কিছু অপেক্ষা করতেছে আশা করা যায়,1,0.8649839358448838
After Forming Government,after_forming_government,30,"কারো কথাই, সমালোচনায় কান দিয়োনা , নিজে নিজে এগিয়ে যাও ভারতের দিকে",কারো কথাই সমালোচনায় কান দিয়োনা নিজে নিজে এগিয়ে যাও ভারতের দিকে,3,0.898956404550772
After Forming Government,after_forming_government,31,পল্টি নেওয়া শুরু তাইলে.. সবাই মিলে মিশে থাকা উচিত,পল্টি নেওয়া শুরু তাইলে সবাই মিলে মিশে থাকা উচিত,2,0.910736619040954
After Forming Government,after_forming_government,32,হাসু আপুর সংবিধানই থাকলে হাসু আপুই বৈধ প্রধানমন্ত্রী।,হাসু আপুর সংবিধানই থাকলে হাসু আপুই বৈধ প্রধানমন্ত্রী,4,0.8995152476837913
After Forming Government,after_forming_government,33,জুলাই আন্দোলনে কারনেই আজ BNP শপথ নিতে পেরেছে। নইলে “ঈদের পর আন্দোলন” বলে বলে বলে বলে ১৭ বছরের সাথে আর কত ১৭ বছর যেতো আল্লাহ জানেন ।,জুলাই আন্দোলনে কারনেই আজ bnp শপথ নিতে পেরেছে নইলে ঈদের পর আন্দোলন বলে বলে বলে বলে বছরের সাথে আর কত বছর যেতো আল্লাহ জানেন,4,0.9610853105541908
