dataset,dataset_slug,doc_id,raw_text,clean_text,dominant_topic,dominant_topic_prob
1 Before Election,1_before_election,0,লিডার চালিয়ে যান পুরো পৃথিবী আপনার বিপক্ষে থাকলেও আমি পৃথিবীর পক্ষেই আছি,লিডার চালিয়ে যান পুরো পৃথিবী আপনার বিপক্ষে থাকলেও আমি পৃথিবীর পক্ষেই আছি,3,0.899383755962899
1 Before Election,1_before_election,1,ভোট দিবো ধানের শীর্ষে চাঁদা তুলবো মিলেমিশে,ভোট দিবো ধানের শীর্ষে চাঁদা তুলবো মিলেমিশে,4,0.8836707665802789
1 Before Election,1_before_election,2,"ছেলেটা দারুণ সাহসী। এতো জুতা খাওয়ার পরও নতুন নতুন বানী নিয়ে চলে আসে,, বাহ -- লেগে থাক ভাই..
",ছেলেটা দারুণ সাহসী এতো জুতা খাওয়ার পরও নতুন নতুন বানী নিয়ে চলে আসে বাহ লেগে থাক ভাই,0,0.9417447539449921
1 Before Election,1_before_election,3,জনগণের ইচ্ছে যাকে খুশি তাকে ভোট দিবে দেশ টাকার বাবার না স্বৈরাচারের মতো ব্যবহার করে পরিপাশে আগস্টের মত শেখ হাসিনার মত হবে ইনশাআল্লাহ,জনগণের ইচ্ছে যাকে খুশি তাকে ভোট দিবে দেশ টাকার বাবার না স্বৈরাচারের মতো ব্যবহার করে পরিপাশে আগস্টের মত শেখ হাসিনার মত হবে ইনশাআল্লাহ,1,0.457590664806987
1 Before Election,1_before_election,4,এদেশের গর্ব তুমি ভাই আরও এগিয়ে যাও! পাবনার দিকে,এদেশের গর্ব তুমি ভাই আরও এগিয়ে যাও পাবনার দিকে,3,0.8652909817546524
1 Before Election,1_before_election,5,সাহসী নেতার সাহসী বাণী!,সাহসী নেতার সাহসী বাণী,4,0.7986452649664165
1 Before Election,1_before_election,6,"""১২ তারিখের পর ওই এলাকার মানুষ ওকে খুঁজবে। আর ও কোথায় থাকবে, তা জানা নেই।",তারিখের পর ওই এলাকার মানুষ ওকে খুঁজবে আর ও কোথায় থাকবে তা জানা নেই,4,0.8971272161631223
1 Before Election,1_before_election,7,"তারুণ্যের প্রথম ভোটটি হোক অন্যায়, দুর্নীতি, চাদাবাজি, ঋণ খেলাপির বিরুদ্ধে। ন্যায় সততা ও ইনসাফ এর পক্ষে, শিক্ষিত মার্জিত! একজন ভালো ব্যক্তির পক্ষে!",তারুণ্যের প্রথম ভোটটি হোক অন্যায় দুর্নীতি চাদাবাজি ঋণ খেলাপির বিরুদ্ধে ন্যায় সততা ও ইনসাফ এর পক্ষে শিক্ষিত মার্জিত একজন ভালো ব্যক্তির পক্ষে,4,0.578762128021742
1 Before Election,1_before_election,8,নেতা এমনই হওয়া দরকার,নেতা এমনই হওয়া দরকার,1,0.7990945195215433
1 Before Election,1_before_election,9,বেশি লাফালাফি করলে দাঁড়িয়ে থাকতে পারবে না,বেশি লাফালাফি করলে দাঁড়িয়ে থাকতে পারবে না,0,0.863297010774881
1 Before Election,1_before_election,10,চাঁদাবাজ মুক্ত সন্ত্রাস মুক্ত দূর্নীতি মুক্ত দেশ গড়তে দাঁড়িপাল্লায় ভোট দিয়ে জয়যুক্ত করুন ইনসাফের রাষ্ট্র গঠন করুন।,চাঁদাবাজ মুক্ত সন্ত্রাস মুক্ত দূর্নীতি মুক্ত দেশ গড়তে দাঁড়িপাল্লায় ভোট দিয়ে জয়যুক্ত করুন ইনসাফের রাষ্ট্র গঠন করুন,4,0.9462204620906408
