dataset,term,count,relative_freq
1 Before Election,ভোট,103,0.012585532746823069
1 Before Election,ইনশাআল্লাহ,87,0.01063049853372434
1 Before Election,ধানের,84,0.010263929618768328
1 Before Election,বিএনপি,82,0.010019550342130987
1 Before Election,আব্বাস,64,0.007820136852394917
1 Before Election,মানুষ,51,0.006231671554252199
1 Before Election,শীষ,43,0.0052541544477028345
1 Before Election,ভাই,39,0.004765395894428153
1 Before Election,ঢাকা,39,0.004765395894428153
1 Before Election,আওয়ামী,39,0.004765395894428153
1 Before Election,নাই,36,0.004398826979472141
1 Before Election,তারেক,36,0.004398826979472141
1 Before Election,বাংলাদেশ,35,0.00427663734115347
1 Before Election,জনগণ,35,0.00427663734115347
1 Before Election,বলে,35,0.00427663734115347
1 Before Election,চান্দা,35,0.00427663734115347
1 Before Election,মির্জা,33,0.004032258064516129
1 Before Election,মনে,30,0.0036656891495601175
1 Before Election,আপনারা,30,0.0036656891495601175
1 Before Election,চাঁদাবাজ,29,0.0035434995112414466
1 Before Election,দল,29,0.0035434995112414466
1 Before Election,নিয়ে,26,0.003176930596285435
1 Before Election,হাদি,26,0.003176930596285435
1 Before Election,করতে,25,0.0030547409579667643
1 Before Election,জিন্দাবাদ,25,0.0030547409579667643
1 Before Election,কোন,24,0.002932551319648094
1 Before Election,সবাই,24,0.002932551319648094
1 Before Election,খাম্বা,24,0.002932551319648094
1 Before Election,ভালো,23,0.0028103616813294234
1 Before Election,চাই,23,0.0028103616813294234
1 Before Election,জয়,23,0.0028103616813294234
1 Before Election,লীগ,23,0.0028103616813294234
1 Before Election,রহমান,23,0.0028103616813294234
1 Before Election,দেশে,22,0.002688172043010753
1 Before Election,রং,21,0.002565982404692082
1 Before Election,দিবে,20,0.0024437927663734115
1 Before Election,এবার,20,0.0024437927663734115
1 Before Election,নির্বাচন,20,0.0024437927663734115
1 Before Election,জিতবে,20,0.0024437927663734115
1 Before Election,চোর,20,0.0024437927663734115
