dataset,term,count,relative_freq
2 After Election,ভোট,202,0.008079353651707864
2 After Election,ইনশাআল্লাহ,157,0.006279497640188785
2 After Election,সমঝোতা,154,0.006159507239420847
2 After Election,নাই,122,0.004879609631229502
2 After Election,মনে,120,0.004799616030717543
2 After Election,হয়ে,112,0.004479641628669706
2 After Election,কোন,108,0.004319654427645789
2 After Election,ভালো,107,0.004279657627389809
2 After Election,শেষ,105,0.004199664026877849
2 After Election,ঠিক,103,0.004119670426365891
2 After Election,করতে,101,0.004039676825853932
2 After Election,রাষ্ট্রপতি,96,0.003839692824574034
2 After Election,নতুন,95,0.0037996960243180545
2 After Election,বলে,95,0.0037996960243180545
2 After Election,হলো,91,0.0036397088232941366
2 After Election,হোক,80,0.0031997440204783617
2 After Election,চাঁদা,76,0.0030397568194544438
2 After Election,মন্ত্রী,75,0.002999760019198464
2 After Election,সে,73,0.002919766418686505
2 After Election,নাকি,71,0.002839772818174546
2 After Election,ভাই,71,0.002839772818174546
2 After Election,কাজ,71,0.002839772818174546
2 After Election,যাবে,69,0.002759779217662587
2 After Election,আবার,69,0.002759779217662587
2 After Election,দেশের,68,0.0027197824174066076
2 After Election,তাহলে,67,0.002679785617150628
2 After Election,বাংলাদেশ,66,0.0026397888168946484
2 After Election,দেওয়া,66,0.0026397888168946484
2 After Election,খবর,65,0.002599792016638669
2 After Election,বিজয়,65,0.002599792016638669
2 After Election,আল্লাহ,62,0.0024798016158707305
2 After Election,এত,61,0.002439804815614751
2 After Election,দালাল,58,0.002319814414846812
2 After Election,তেল,58,0.002319814414846812
2 After Election,ধানের,58,0.002319814414846812
2 After Election,লাভ,58,0.002319814414846812
2 After Election,মানুষ,56,0.002239820814334853
2 After Election,একটু,56,0.002239820814334853
2 After Election,এবার,55,0.002199824014078874
2 After Election,পারে,54,0.0021598272138228943
