dataset,term,count,relative_freq
3 After Forming Government,ভাই,151,0.005882123797280979
3 After Forming Government,তাহলে,141,0.0054925791749444895
3 After Forming Government,শুরু,126,0.004908262241439757
3 After Forming Government,করতে,116,0.004518717619103268
3 After Forming Government,ঠিক,116,0.004518717619103268
3 After Forming Government,ভালো,115,0.004479763156869619
3 After Forming Government,কষ্ট,115,0.004479763156869619
3 After Forming Government,নাই,103,0.004012309610065833
3 After Forming Government,বিএনপি,102,0.0039733551478321845
3 After Forming Government,জুলাই,98,0.0038175372988975887
3 After Forming Government,হয়ে,96,0.003739628374430291
3 After Forming Government,মাফিয়া,93,0.0036227649877293446
3 After Forming Government,বলে,92,0.0035838105254956953
3 After Forming Government,সংবিধান,90,0.0035059016010283977
3 After Forming Government,শপথ,90,0.0035059016010283977
3 After Forming Government,মনে,85,0.0033111292898601536
3 After Forming Government,কোন,84,0.0032721748276265047
3 After Forming Government,ভোট,80,0.003116356978691909
3 After Forming Government,বেশি,77,0.0029994935919909625
3 After Forming Government,কাজে,76,0.0029605391297573137
3 After Forming Government,আবার,75,0.002921584667523665
3 After Forming Government,প্রধানমন্ত্রী,73,0.0028436757430563672
3 After Forming Government,কাজ,72,0.0028047212808227184
3 After Forming Government,চাই,70,0.0027268123563554203
3 After Forming Government,বড়,66,0.002570994507420825
3 After Forming Government,দেশের,65,0.002532040045187176
3 After Forming Government,দেশ,65,0.002532040045187176
3 After Forming Government,হাট,64,0.0024930855829535274
3 After Forming Government,সংস্কার,63,0.0024541311207198786
3 After Forming Government,মানুষ,63,0.0024541311207198786
3 After Forming Government,খাবে,63,0.0024541311207198786
3 After Forming Government,খাও,63,0.0024541311207198786
3 After Forming Government,খা,62,0.0024151766584862297
3 After Forming Government,যাবে,61,0.002376222196252581
3 After Forming Government,আল্লাহ,61,0.002376222196252581
3 After Forming Government,করেন,61,0.002376222196252581
3 After Forming Government,আপনাদের,58,0.002259358809551634
3 After Forming Government,বছর,58,0.002259358809551634
3 After Forming Government,জনগণ,58,0.002259358809551634
3 After Forming Government,নয়,58,0.002259358809551634
