dataset,term,count,relative_freq
5 Post June 2026,দাম,157,0.0071334454086964426
5 Post June 2026,বিচার,125,0.005679494752146849
5 Post June 2026,মনে,107,0.004861647507837703
5 Post June 2026,নাই,107,0.004861647507837703
5 Post June 2026,ঠিক,104,0.004725339633786178
5 Post June 2026,কোন,104,0.004725339633786178
5 Post June 2026,আলহামদুলিল্লাহ,98,0.00445272388568313
5 Post June 2026,বলে,95,0.004316416011631605
5 Post June 2026,ধন্যবাদ,93,0.004225544095597255
5 Post June 2026,ভালো,87,0.003952928347494207
5 Post June 2026,হয়ে,86,0.0039074923894770325
5 Post June 2026,টাকা,85,0.0038620564314598574
5 Post June 2026,দেশের,83,0.0037711845154255077
5 Post June 2026,তাহলে,81,0.003680312599391158
5 Post June 2026,জোকার,77,0.003498568767322459
5 Post June 2026,মানুষ,72,0.003271388977236585
5 Post June 2026,সে,70,0.0031805170612022354
5 Post June 2026,আইন,68,0.0030896451451678858
5 Post June 2026,নিয়ে,67,0.003044209187150711
5 Post June 2026,হুজুর,67,0.003044209187150711
5 Post June 2026,বেশি,66,0.002998773229133536
5 Post June 2026,দেশ,64,0.002907901313099187
5 Post June 2026,ভাই,63,0.0028624653550820118
5 Post June 2026,হলো,63,0.0028624653550820118
5 Post June 2026,বাংলাদেশ,62,0.002817029397064837
5 Post June 2026,করতে,61,0.0027715934390476625
5 Post June 2026,পাগল,59,0.002680721523013313
5 Post June 2026,বাংলাদেশের,57,0.002589849606978963
5 Post June 2026,হলে,56,0.0025444136489617885
5 Post June 2026,বিদ্যুৎ,55,0.0024989776909446135
5 Post June 2026,কাজ,54,0.002453541732927439
5 Post June 2026,দেওয়া,53,0.002408105774910264
5 Post June 2026,সংসদে,53,0.002408105774910264
5 Post June 2026,মাননীয়,52,0.002362669816893089
5 Post June 2026,সবাই,52,0.002362669816893089
5 Post June 2026,বড়,52,0.002362669816893089
5 Post June 2026,পারে,51,0.0023172338588759145
5 Post June 2026,খালাস,50,0.0022717979008587395
5 Post June 2026,এটাই,49,0.002226361942841565
5 Post June 2026,নাকি,48,0.0021809259848243902
