dataset,term,count,relative_freq
After Forming Government,শুরু,109,0.006534380432827768
After Forming Government,তাহলে,99,0.005934895989449074
After Forming Government,করতে,95,0.005695102212097596
After Forming Government,শপথ,90,0.005395359990408249
After Forming Government,বিএনপি,87,0.0052155146573946405
After Forming Government,সংবিধান,82,0.004915772435705294
After Forming Government,জুলাই,78,0.004675978658353816
After Forming Government,ভালো,78,0.004675978658353816
After Forming Government,কাজে,75,0.004496133325340207
After Forming Government,ভোট,69,0.004136442659312991
After Forming Government,ভাই,63,0.0037767519932857744
After Forming Government,আবার,60,0.003596906660272166
After Forming Government,প্রধানমন্ত্রী,60,0.003596906660272166
After Forming Government,কাজ,60,0.003596906660272166
After Forming Government,মাফিয়া,58,0.003477009771596427
After Forming Government,বলে,56,0.003357112882920688
After Forming Government,চাই,56,0.003357112882920688
After Forming Government,সংস্কার,55,0.003297164438582819
After Forming Government,জনগণের,55,0.003297164438582819
After Forming Government,করেন,54,0.0032372159942449493
After Forming Government,আল্লাহ,53,0.00317726754990708
After Forming Government,দেশের,52,0.0031173191055692104
After Forming Government,দেশ,52,0.0031173191055692104
After Forming Government,জনগণ,52,0.0031173191055692104
After Forming Government,নাই,50,0.0029974222168934715
After Forming Government,মনে,48,0.0028775253282177326
After Forming Government,ইনশাআল্লাহ,48,0.0028775253282177326
After Forming Government,আলহামদুলিল্লাহ,47,0.0028175768838798634
After Forming Government,নির্বাচন,47,0.0028175768838798634
After Forming Government,যুদ্ধ,45,0.0026976799952041245
After Forming Government,বাংলাদেশ,43,0.0025777831065283857
After Forming Government,সরকার,41,0.002457886217852647
After Forming Government,কোন,41,0.002457886217852647
After Forming Government,যাবে,40,0.002397937773514777
After Forming Government,তারেক,40,0.002397937773514777
After Forming Government,টাকা,40,0.002397937773514777
After Forming Government,বিরুদ্ধে,40,0.002397937773514777
After Forming Government,নিজেই,40,0.002397937773514777
After Forming Government,মানুষ,39,0.002337989329176908
After Forming Government,প্রথম,39,0.002337989329176908
