dataset,term,count,relative_freq
Before Election,ভোট,101,0.01226919339164237
Before Election,ইনশাআল্লাহ,89,0.010811467444120506
Before Election,ধানের,84,0.01020408163265306
Before Election,বিএনপি,82,0.009961127308066083
Before Election,আব্বাস,64,0.007774538386783284
Before Election,মানুষ,51,0.00619533527696793
Before Election,শীষ,43,0.00522351797862002
Before Election,ভাই,39,0.0047376093294460644
Before Election,ঢাকা,39,0.0047376093294460644
Before Election,তারেক,39,0.0047376093294460644
Before Election,নাই,36,0.004373177842565598
Before Election,বাংলাদেশ,35,0.004251700680272109
Before Election,জনগণ,35,0.004251700680272109
Before Election,বলে,35,0.004251700680272109
Before Election,চান্দা,35,0.004251700680272109
Before Election,মির্জা,33,0.004008746355685131
Before Election,আপনারা,31,0.0037657920310981536
Before Election,মনে,30,0.0036443148688046646
Before Election,চাঁদাবাজ,29,0.003522837706511176
Before Election,দল,29,0.003522837706511176
Before Election,রহমান,26,0.0031584062196307093
Before Election,হাদি,26,0.0031584062196307093
Before Election,করতে,25,0.0030369290573372208
Before Election,জিন্দাবাদ,25,0.0030369290573372208
Before Election,খাম্বা,25,0.0030369290573372208
Before Election,কোন,24,0.0029154518950437317
Before Election,সবাই,24,0.0029154518950437317
Before Election,ভালো,23,0.002793974732750243
Before Election,চাই,23,0.002793974732750243
Before Election,লীগ,23,0.002793974732750243
Before Election,দেশে,22,0.002672497570456754
Before Election,আওয়ামী,21,0.002551020408163265
Before Election,রং,21,0.002551020408163265
Before Election,দিবে,20,0.0024295432458697765
Before Election,এবার,20,0.0024295432458697765
Before Election,নির্বাচন,20,0.0024295432458697765
Before Election,জিতবে,20,0.0024295432458697765
Before Election,আপনাদের,19,0.0023080660835762875
Before Election,চোর,19,0.0023080660835762875
Before Election,হাদী,19,0.0023080660835762875
After Election,ভোট,188,0.017846971710651225
After Election,ইনশাআল্লাহ,148,0.01404974368710841
After Election,দালাল,55,0.005221188532371369
After Election,ধানের,54,0.005126257831782798
After Election,আল্লাহ,52,0.004936396430605658
After Election,খবর,49,0.004651604328839947
After Election,নাই,49,0.004651604328839947
After Election,মনে,48,0.004556673628251376
After Election,বাংলাদেশ,47,0.004461742927662806
After Election,দাদু,46,0.004366812227074236
After Election,বলে,44,0.004176950825897095
After Election,নতুন,42,0.003987089424719955
After Election,সাদা,42,0.003987089424719955
After Election,কাকু,39,0.0037022973229542434
After Election,বিজয়,39,0.0037022973229542434
After Election,প্রথম,37,0.0035124359217771025
After Election,করতে,37,0.0035124359217771025
After Election,জনগণ,36,0.0034175052211885323
After Election,শেষ,36,0.0034175052211885323
After Election,আজ,33,0.0031327131194228215
After Election,নাকি,32,0.003037782418834251
After Election,ভালো,31,0.0029428517182456806
After Election,শকুন,31,0.0029428517182456806
After Election,কোন,30,0.0028479210176571104
After Election,তাহলে,30,0.0028479210176571104
After Election,মানুষ,28,0.0026580596164799694
After Election,একটু,28,0.0026580596164799694
After Election,দেশের,26,0.002468198215302829
After Election,ঠিক,26,0.002468198215302829
After Election,নির্বাচন,25,0.0023732675147142587
After Election,চেহারা,25,0.0023732675147142587
After Election,যাচ্ছে,24,0.002278336814125688
After Election,যাবে,24,0.002278336814125688
After Election,বিজয়,24,0.002278336814125688
After Election,আবার,24,0.002278336814125688
After Election,মন,23,0.002183406113537118
After Election,জামাত,23,0.002183406113537118
After Election,এবার,22,0.0020884754129485475
After Election,তামিম,22,0.0020884754129485475
After Election,আলহামদুলিল্লাহ,22,0.0020884754129485475
After Forming Government,শুরু,109,0.006534380432827768
After Forming Government,তাহলে,99,0.005934895989449074
After Forming Government,করতে,95,0.005695102212097596
After Forming Government,শপথ,90,0.005395359990408249
After Forming Government,বিএনপি,87,0.0052155146573946405
After Forming Government,সংবিধান,82,0.004915772435705294
After Forming Government,জুলাই,78,0.004675978658353816
After Forming Government,ভালো,78,0.004675978658353816
After Forming Government,কাজে,75,0.004496133325340207
After Forming Government,ভোট,69,0.004136442659312991
After Forming Government,ভাই,63,0.0037767519932857744
After Forming Government,আবার,60,0.003596906660272166
After Forming Government,প্রধানমন্ত্রী,60,0.003596906660272166
After Forming Government,কাজ,60,0.003596906660272166
After Forming Government,মাফিয়া,58,0.003477009771596427
After Forming Government,বলে,56,0.003357112882920688
After Forming Government,চাই,56,0.003357112882920688
After Forming Government,সংস্কার,55,0.003297164438582819
After Forming Government,জনগণের,55,0.003297164438582819
After Forming Government,করেন,54,0.0032372159942449493
After Forming Government,আল্লাহ,53,0.00317726754990708
After Forming Government,দেশের,52,0.0031173191055692104
After Forming Government,দেশ,52,0.0031173191055692104
After Forming Government,জনগণ,52,0.0031173191055692104
After Forming Government,নাই,50,0.0029974222168934715
After Forming Government,মনে,48,0.0028775253282177326
After Forming Government,ইনশাআল্লাহ,48,0.0028775253282177326
After Forming Government,আলহামদুলিল্লাহ,47,0.0028175768838798634
After Forming Government,নির্বাচন,47,0.0028175768838798634
After Forming Government,যুদ্ধ,45,0.0026976799952041245
After Forming Government,বাংলাদেশ,43,0.0025777831065283857
After Forming Government,সরকার,41,0.002457886217852647
After Forming Government,কোন,41,0.002457886217852647
After Forming Government,যাবে,40,0.002397937773514777
After Forming Government,তারেক,40,0.002397937773514777
After Forming Government,টাকা,40,0.002397937773514777
After Forming Government,বিরুদ্ধে,40,0.002397937773514777
After Forming Government,নিজেই,40,0.002397937773514777
After Forming Government,মানুষ,39,0.002337989329176908
After Forming Government,প্রথম,39,0.002337989329176908
