dataset,term,count,relative_freq
Before Election,ভোট,105,0.012739626304295074
Before Election,ইনশাআল্লাহ,89,0.010798349915069158
Before Election,ধানের,84,0.01019170104343606
Before Election,বিএনপি,82,0.00994904149478282
Before Election,আব্বাস,64,0.007765105556903664
Before Election,মানুষ,51,0.006187818490657608
Before Election,শীষ,43,0.005217180296044649
Before Election,ভাই,39,0.00473186119873817
Before Election,ঢাকা,39,0.00473186119873817
Before Election,আওয়ামী,39,0.00473186119873817
Before Election,তারেক,39,0.00473186119873817
Before Election,নাই,36,0.004367871875758311
Before Election,বাংলাদেশ,35,0.004246542101431691
Before Election,জনগণ,35,0.004246542101431691
Before Election,বলে,35,0.004246542101431691
Before Election,চান্দা,35,0.004246542101431691
Before Election,মির্জা,33,0.004003882552778452
Before Election,আপনারা,31,0.0037612230041252125
Before Election,মনে,30,0.0036398932297985924
Before Election,চাঁদাবাজ,29,0.003518563455471973
Before Election,দল,29,0.003518563455471973
Before Election,নিয়ে,26,0.0031545741324921135
Before Election,রহমান,26,0.0031545741324921135
Before Election,হাদি,26,0.0031545741324921135
Before Election,করতে,25,0.003033244358165494
Before Election,জিন্দাবাদ,25,0.003033244358165494
Before Election,খাম্বা,25,0.003033244358165494
Before Election,কোন,24,0.002911914583838874
Before Election,সবাই,24,0.002911914583838874
Before Election,ভালো,23,0.002790584809512254
Before Election,চাই,23,0.002790584809512254
Before Election,জয়,23,0.002790584809512254
Before Election,লীগ,23,0.002790584809512254
Before Election,দেশে,22,0.0026692550351856345
Before Election,রং,21,0.002547925260859015
Before Election,দিবে,20,0.0024265954865323952
Before Election,এবার,20,0.0024265954865323952
Before Election,নির্বাচন,20,0.0024265954865323952
Before Election,জিতবে,20,0.0024265954865323952
Before Election,চোর,20,0.0024265954865323952
