dataset,dataset_slug,topic_id,topic_prevalence,top_terms,term_1,weight_1,term_2,weight_2,term_3,weight_3,term_4,weight_4,term_5,weight_5,term_6,weight_6,term_7,weight_7,term_8,weight_8,term_9,weight_9,term_10,weight_10
1 Before Election,1_before_election,0,0.18741594756093263,"আওয়ামী, বিএনপি, লীগ, সবাই, খাম্বা, একটু, বি, জামাত, আপনারা, মানুষ",আওয়ামী,32.26677055619155,বিএনপি,25.32191820626713,লীগ,23.19415973485488,সবাই,17.61112095870715,খাম্বা,15.201256243228649,একটু,15.195562287931402,বি,13.196350660620093,জামাত,12.638228525006244,আপনারা,12.516298382992368,মানুষ,10.892760126558848
1 Before Election,1_before_election,1,0.1859681343648953,"ইনশাআল্লাহ, জনগণ, বয়কট, বিএনপি, দল, বাংলাদেশের, আপনারা, থাকবে, কার্ড, ভারতীয়",ইনশাআল্লাহ,41.96503006695505,জনগণ,35.194628411740815,বয়কট,16.196485348693727,বিএনপি,14.772817998685275,দল,12.085426826923614,বাংলাদেশের,11.794124162398933,আপনারা,11.606847226769448,থাকবে,11.218933541282306,কার্ড,11.114122532811663,ভারতীয়,11.006343065052093
1 Before Election,1_before_election,2,0.19918662397693546,"আব্বাস, চান্দা, মির্জা, চাঁদাবাজ, দেশে, বলে, বিএনপি, ভাই, নিয়ে, খুনি",আব্বাস,64.19780462543412,চান্দা,35.1973841389162,মির্জা,33.19643743900376,চাঁদাবাজ,25.316126820999834,দেশে,15.215495192334027,বলে,15.180977516882999,বিএনপি,12.407825441827171,ভাই,10.84813254211419,নিয়ে,10.54821331383749,খুনি,8.211639138311801
1 Before Election,1_before_election,3,0.19495180804358572,"ঢাকা, নাই, বলে, ভাই, করতে, বিচার, চাই, হাদি, বিএনপি, দেওয়া",ঢাকা,23.832266691945403,নাই,22.555626459677356,বলে,20.13203141516066,ভাই,19.882054861325866,করতে,17.78328037116126,বিচার,17.196157938099407,চাই,16.947728081817832,হাদি,16.512456967675146,বিএনপি,16.411044438579104,দেওয়া,14.209695721990688
1 Before Election,1_before_election,4,0.2324774860536491,"ভোট, ধানের, শীষ, ইনশাআল্লাহ, তারেক, মানুষ, বাংলাদেশ, রহমান, জিন্দাবাদ, জিতবে",ভোট,103.18384263329277,ধানের,84.19816110066377,শীষ,43.19832351088468,ইনশাআল্লাহ,39.22642382353995,তারেক,27.76307552912733,মানুষ,27.1285503591491,বাংলাদেশ,26.367667636008484,রহমান,23.197280296563036,জিন্দাবাদ,17.766493517072732,জিতবে,16.268955678764218
2 After Election,2_after_election,0,0.2041725834700015,"ইনশাআল্লাহ, ভোট, মনে, বিজয়, দালাল, ধানের, নোটিশ, আল্লাহ, রাষ্ট্রপতি, জামাত",ইনশাআল্লাহ,157.19680253469372,ভোট,74.07810953838307,মনে,67.97669929309448,বিজয়,65.19710556588662,দালাল,58.19617197153,ধানের,55.48776494248619,নোটিশ,50.196775771286234,আল্লাহ,42.99626706639784,রাষ্ট্রপতি,38.237889808037934,জামাত,37.530890468079164
2 After Election,2_after_election,1,0.19076339943023785,"ঠিক, হলো, তেল, লাভ, নেতা, কাজ, আহারে, na, নাটক, এতো",ঠিক,103.19560932125363,হলো,70.48919530001541,তেল,58.1963790839465,লাভ,58.195888067402386,নেতা,50.19152308774947,কাজ,36.12200504616876,আহারে,34.39104010170604,na,33.198727891091075,নাটক,32.43047012011093,এতো,32.1341468279593
2 After Election,2_after_election,2,0.2053594398267095,"সমঝোতা, নাই, চাঁদা, করতে, ভোট, বলে, ভাই, কোন, আলহামদুলিল্লাহ, বাংলাদেশ",সমঝোতা,154.19624852890303,নাই,108.00158985677461,চাঁদা,76.19654167038537,করতে,76.10997182007883,ভোট,66.52195523051583,বলে,65.48996596745192,ভাই,59.408482444378954,কোন,57.77067410814014,আলহামদুলিল্লাহ,51.19762147568532,বাংলাদেশ,49.00802964885637
2 After Election,2_after_election,3,0.19229520396516678,"শেষ, নতুন, খবর, দেশের, রাষ্ট্রপতি, চাই, কাকু, নাকি, সারা, দাদু",শেষ,105.19240916452341,নতুন,69.31837652877374,খবর,65.19523694970222,দেশের,51.40173872097594,রাষ্ট্রপতি,49.771448498864416,চাই,48.91922530085088,কাকু,45.19267732441346,নাকি,43.22229891657367,সারা,38.19656509872026,দাদু,36.644332007162255
2 After Election,2_after_election,4,0.2074093733078917,"হয়ে, মন্ত্রী, ভালো, সে, ভোট, সাদা, বিষয়ক, মুক্তিযোদ্ধা, যাবে, মুক্তিযুদ্ধ",হয়ে,97.00135393230308,মন্ত্রী,75.19583184044268,ভালো,52.67078133010321,সে,50.286816574927094,ভোট,44.696991557377316,সাদা,44.19533465467574,বিষয়ক,39.19735483815462,মুক্তিযোদ্ধা,39.196894332962685,যাবে,36.34450676317979,মুক্তিযুদ্ধ,36.19790209147918
3 After Forming Government,3_after_forming_government,0,0.19412245407647524,"শুরু, নাই, ভোট, আল্লাহ, দেয়, কোন, তুই, বলে, জনগণ, প্রথম",শুরু,126.01640999367682,নাই,69.79045166585135,ভোট,51.47202792986962,আল্লাহ,42.01480675952396,দেয়,41.579873231899285,কোন,38.9701913175654,তুই,36.89978786728481,বলে,36.476394838481475,জনগণ,36.37800295354084,প্রথম,30.990141059714873
3 After Forming Government,3_after_forming_government,1,0.2143503768516069,"কষ্ট, করতে, বেশি, খাও, মনে, ভাই, নাকি, আবার, যাবে, পিছনে",কষ্ট,101.81625802212707,করতে,87.54205388159993,বেশি,72.6080367935449,খাও,63.19763150792888,মনে,61.97650398711796,ভাই,51.93754884661788,নাকি,47.190685158854926,আবার,43.56082712267734,যাবে,35.37428169895997,পিছনে,33.19669054971501
3 After Forming Government,3_after_forming_government,2,0.1814782054202195,"শপথ, হাট, খাবে, খা, ঘাট, আলহামদুলিল্লাহ, ভালো, বছর, সরকার, মিল",শপথ,90.19231540408268,হাট,64.19684192292372,খাবে,63.17155809799395,খা,62.19815951293618,ঘাট,58.19656348971098,আলহামদুলিল্লাহ,56.19538653877509,ভালো,50.41153721441274,বছর,38.54841313354253,সরকার,36.5256208193765,মিল,34.195346457004455
3 After Forming Government,3_after_forming_government,3,0.19726606389983312,"মাফিয়া, চাই, বড়, কাজে, কাজ, নেতা, নয়, যুদ্ধ, বিরুদ্ধে, নিজেই",মাফিয়া,93.19744781202489,চাই,70.19459993157881,বড়,66.1958091643294,কাজে,54.161492360552934,কাজ,54.026921370399045,নেতা,52.19349855978546,নয়,51.81829263450427,যুদ্ধ,48.19573987158726,বিরুদ্ধে,44.190847617297656,নিজেই,41.19799627287288
3 After Forming Government,3_after_forming_government,4,0.2127828997518686,"ঠিক, প্রধানমন্ত্রী, তাহলে, দেশের, মানুষ, সংবিধান, জুলাই, ইনশাআল্লাহ, বিএনপি, টা",ঠিক,116.19369853154902,প্রধানমন্ত্রী,73.19205536656945,তাহলে,72.02410179494032,দেশের,65.19225412247056,মানুষ,63.1900553809959,সংবিধান,62.349306481647716,জুলাই,53.70131007803676,ইনশাআল্লাহ,52.19212329000569,বিএনপি,50.60218259740743,টা,48.19156495312272
4 June 2026,4_june_2026,0,0.194775081794725,"বিদ্যুৎ, তাহলে, বিল, দাম, টাকা, করেন, সত্য, দেন, ধন্যবাদ, কোন",বিদ্যুৎ,467.1930559911635,তাহলে,258.85773807237655,বিল,211.195840865302,দাম,203.1942281995513,টাকা,183.2368316852599,করেন,162.99328869333695,সত্য,124.19544901575318,দেন,122.0693401175115,ধন্যবাদ,115.30998133815993,কোন,106.33758828847812
4 June 2026,4_june_2026,1,0.16661344453426924,"বিচার, আওতায়, ki, সংসদে, বসে, na, বাটপার, দালাল, হোক, চাই",বিচার,121.56481338941565,আওতায়,97.19735226140733,ki,92.19978028270326,সংসদে,90.45909342865164,বসে,88.19064003614821,na,87.19971741540004,বাটপার,87.19565109502037,দালাল,87.1943775721653,হোক,85.65660527725848,চাই,80.18405001548557
4 June 2026,4_june_2026,2,0.2163013489126271,"নাই, বলে, সময়, আপনারা, করতে, বড়, সরকার, দুর্নীতি, নিয়ে, আপনাদের",নাই,279.7352315873742,বলে,186.8909577349479,সময়,183.07880736600936,আপনারা,182.52016996735887,করতে,155.18748295132582,বড়,146.64582735369137,সরকার,144.0336866858361,দুর্নীতি,141.77393271234607,নিয়ে,140.42706783917936,আপনাদের,124.85169235950872
4 June 2026,4_june_2026,3,0.205344281748758,"সংসদ, হয়ে, স্পিকার, মন্ত্রী, মাননীয়, শুরু, বন্ধ, মনে, জোকার, যা",সংসদ,390.3521727238104,হয়ে,338.1922799537596,স্পিকার,336.0173751750232,মন্ত্রী,314.1903498277533,মাননীয়,260.1950026221291,শুরু,209.19385297069238,বন্ধ,201.19084698203082,মনে,177.51947606552523,জোকার,176.96275316226803,যা,163.3104006220984
4 June 2026,4_june_2026,4,0.2169658430096193,"ভালো, সালাউদ্দিন, মনে, দেশের, মানুষ, সংসদ, স্পিকার, মতো, বিএনপি, বেশি",ভালো,290.1932858076418,সালাউদ্দিন,281.1944387387281,মনে,260.87417999266495,দেশের,251.19108483684988,মানুষ,198.1911311033935,সংসদ,161.04266448821062,স্পিকার,152.37965636179499,মতো,143.19290334682233,বিএনপি,135.33100581425722,বেশি,119.36260492213452
5 Post June 2026,5_post_june_2026,0,0.18176153140714651,"ধন্যবাদ, বাংলাদেশ, আপনাকে, দেশ, মাননীয়, তাহলে, নয়, মুক্তিযোদ্ধাদের, ভাতা, মুক্তিযোদ্ধা",ধন্যবাদ,93.19654501841927,বাংলাদেশ,49.09957432207688,আপনাকে,37.078679103253315,দেশ,32.4680482138372,মাননীয়,28.678600401177544,তাহলে,27.42924547247614,নয়,27.065268316671304,মুক্তিযোদ্ধাদের,26.64610860790125,ভাতা,26.040286287941978,মুক্তিযোদ্ধা,25.954342331849585
