period,location_a,location_b,co_mentions
post_june_2026,Chattogram,Dhaka,860
post_june_2026,Dhaka,Gazipur,645
post_june_2026,Barishal,Dhaka,520
after_election,Chattogram,Dhaka,510
after_election,Dhaka,Gazipur,485
after_election,Barishal,Dhaka,440
post_june_2026,Dhaka,Mymensingh,440
post_june_2026,Dhaka,Rangpur,385
post_june_2026,Dhaka,Khulna,355
post_june_2026,Cumilla,Dhaka,335
after_election,Dhaka,Rangpur,320
after_forming_government,Dhaka,Gazipur,310
after_forming_government,Chattogram,Dhaka,310
post_june_2026,Dhaka,Sylhet,290
post_june_2026,Dhaka,Tangail,265
after_election,Chattogram,Noakhali,265
after_election,Dhaka,Khulna,260
post_june_2026,Chattogram,Noakhali,255
post_june_2026,Dhaka,Kishoreganj,255
after_election,Dhaka,Mymensingh,255
post_june_2026,Dhaka,Faridpur,250
post_june_2026,Dhaka,Narsingdi,250
post_june_2026,Jessore,Khulna,250
post_june_2026,Chandpur,Chattogram,225
post_june_2026,Dhaka,Pabna,225
