period,location_a,location_b,co_mentions
2026-02-12_to_2026-02-17,Dhaka,Gazipur,24
2026-02-12_to_2026-02-17,Chattogram,Dhaka,23
2026-02-12_to_2026-02-17,Barishal,Dhaka,19
2026-02-12_to_2026-02-17,Dhaka,Mymensingh,17
2026-02-12_to_2026-02-17,Chattogram,Noakhali,15
2026-02-12_to_2026-02-17,Dhaka,Rangpur,14
2026-02-12_to_2026-02-17,Dhaka,Kishoreganj,11
2026-02-12_to_2026-02-17,Barishal,Bhola,9
2026-02-12_to_2026-02-17,Chandpur,Chattogram,9
2026-02-12_to_2026-02-17,Dhaka,Khulna,9
2026-02-12_to_2026-02-17,Dhaka,Tangail,9
2026-02-12_to_2026-02-17,Dhaka,Narsingdi,8
2026-02-12_to_2026-02-17,Dhaka,Faridpur,7
2026-02-12_to_2026-02-17,Dhaka,Sylhet,7
2026-02-12_to_2026-02-17,Bhola,Dhaka,6
2026-02-12_to_2026-02-17,Chandpur,Dhaka,6
2026-02-12_to_2026-02-17,Dhaka,Jamalpur,6
2026-02-12_to_2026-02-17,Dhaka,Noakhali,6
2026-02-12_to_2026-02-17,Jessore,Khulna,6
2026-02-12_to_2026-02-17,Chattogram,Lakshmipur,5
2026-02-12_to_2026-02-17,Dhaka,Pabna,5
2026-02-12_to_2026-02-17,Dhaka,Rajshahi,5
2026-02-12_to_2026-02-17,Dhaka,Sirajganj,5
2026-02-12_to_2026-02-17,Habiganj,Sylhet,5
2026-02-12_to_2026-02-17,Mymensingh,Sherpur,5
2026-02-12_to_2026-02-17,Chattogram,Sylhet,4
2026-02-12_to_2026-02-17,Dhaka,Madaripur,4
2026-02-12_to_2026-02-17,Dhaka,Munshiganj,4
2026-02-12_to_2026-02-17,Dhaka,Rajbari,4
2026-02-12_to_2026-02-17,Dhaka,কিশোরগঞ্জ,4
2026-02-12_to_2026-02-17,Bagerhat,Khulna,3
2026-02-12_to_2026-02-17,Brahmanbaria,Dhaka,3
2026-02-12_to_2026-02-17,Chattogram,Cox's Bazar,3
2026-02-12_to_2026-02-17,Chattogram,Cumilla,3
2026-02-12_to_2026-02-17,Dhaka,Kushtia,3
2026-02-12_to_2026-02-17,Dhaka,Naogaon,3
2026-02-12_to_2026-02-17,Dhaka,Netrokona,3
2026-02-12_to_2026-02-17,Kishoreganj,কিশোরগঞ্জ,3
2026-02-12_to_2026-02-17,Bagerhat,Dhaka,2
2026-02-12_to_2026-02-17,Barishal,Pirojpur,2
2026-02-12_to_2026-02-17,Chattogram,Rajshahi,2
2026-02-12_to_2026-02-17,Cumilla,Dhaka,2
2026-02-12_to_2026-02-17,Dhaka,Lakshmipur,2
2026-02-12_to_2026-02-17,Dhaka,Manikganj,2
2026-02-12_to_2026-02-17,Dhaka,Narayanganj,2
2026-02-12_to_2026-02-17,Dhaka,Nilphamari,2
2026-02-12_to_2026-02-17,Dhaka,Patuakhali,2
2026-02-12_to_2026-02-17,Dhaka,Pirojpur,2
2026-02-12_to_2026-02-17,Dhaka,নরসিংদী,2
2026-02-12_to_2026-02-17,Dhaka,ফরিদপুর,2
2026-02-12_to_2026-02-17,Dhaka,বগুড়া,2
2026-02-12_to_2026-02-17,Dhaka,ময়মনসিংহ,2
2026-02-12_to_2026-02-17,Dhaka,সুনামগঞ্জ,2
2026-02-12_to_2026-02-17,Faridpur,ফরিদপুর,2
2026-02-12_to_2026-02-17,Gazipur,Tangail,2
2026-02-12_to_2026-02-17,Khulna,Magura,2
2026-02-12_to_2026-02-17,Kurigram,Panchagarh,2
2026-02-12_to_2026-02-17,Moulvibazar,Sylhet,2
2026-02-12_to_2026-02-17,Nilphamari,Rangpur,2
2026-02-12_to_2026-02-17,Nilphamari,নীলফামারী,2
2026-02-12_to_2026-02-17,Sunamganj,Sylhet,2
2026-02-12_to_2026-02-17,Sylhet,মৌলভীবাজার,2
2026-02-12_to_2026-02-17,Bandarban,Barishal,1
2026-02-12_to_2026-02-17,Bandarban,Chattogram,1
2026-02-12_to_2026-02-17,Bandarban,Cox's Bazar,1
2026-02-12_to_2026-02-17,Barguna,Dhaka,1
2026-02-12_to_2026-02-17,Barishal,Chandpur,1
2026-02-12_to_2026-02-17,Barishal,Chattogram,1
2026-02-12_to_2026-02-17,Barishal,Narayanganj,1
2026-02-12_to_2026-02-17,Barishal,Patuakhali,1
2026-02-12_to_2026-02-17,Barishal,Sylhet,1
2026-02-12_to_2026-02-17,Barishal,ভোলা,1
2026-02-12_to_2026-02-17,Bhola,Chattogram,1
2026-02-12_to_2026-02-17,Bhola,ভোলা,1
2026-02-12_to_2026-02-17,Bogura,Dhaka,1
2026-02-12_to_2026-02-17,Bogura,Rangpur,1
2026-02-12_to_2026-02-17,Brahmanbaria,Chattogram,1
2026-02-12_to_2026-02-17,Brahmanbaria,Narsingdi,1
2026-02-12_to_2026-02-17,Chandpur,চাঁদপুর,1
2026-02-12_to_2026-02-17,Chattogram,Gazipur,1
2026-02-12_to_2026-02-17,Chattogram,Gopalganj,1
2026-02-12_to_2026-02-17,Chattogram,Mymensingh,1
2026-02-12_to_2026-02-17,Chattogram,Pirojpur,1
2026-02-12_to_2026-02-17,Chattogram,Rangamati,1
2026-02-12_to_2026-02-17,Chattogram,Rangpur,1
2026-02-12_to_2026-02-17,Chattogram,চাঁদপুর,1
2026-02-12_to_2026-02-17,Chattogram,জামালপুর,1
2026-02-12_to_2026-02-17,Chattogram,নোয়াখালী,1
2026-02-12_to_2026-02-17,Chattogram,ব্রাহ্মণবাড়িয়া,1
2026-02-12_to_2026-02-17,Cox's Bazar,Dhaka,1
2026-02-12_to_2026-02-17,Cox's Bazar,Rajshahi,1
2026-02-12_to_2026-02-17,Cumilla,Narayanganj,1
2026-02-12_to_2026-02-17,Dhaka,Dinajpur,1
2026-02-12_to_2026-02-17,Dhaka,Feni,1
2026-02-12_to_2026-02-17,Dhaka,Gopalganj,1
2026-02-12_to_2026-02-17,Dhaka,Habiganj,1
2026-02-12_to_2026-02-17,Dhaka,Jashore,1
2026-02-12_to_2026-02-17,Dhaka,Jessore,1
2026-02-12_to_2026-02-17,Dhaka,Jhenaidah,1
2026-02-12_to_2026-02-17,Dhaka,Kurigram,1
2026-02-12_to_2026-02-17,Dhaka,Magura,1
2026-02-12_to_2026-02-17,Dhaka,Meherpur,1
2026-02-12_to_2026-02-17,Dhaka,Narail,1
2026-02-12_to_2026-02-17,Dhaka,Satkhira,1
2026-02-12_to_2026-02-17,Dhaka,Shariatpur,1
2026-02-12_to_2026-02-17,Dhaka,Sherpur,1
2026-02-12_to_2026-02-17,Dhaka,Sunamganj,1
2026-02-12_to_2026-02-17,Dhaka,খাও হালুয়া,1
2026-02-12_to_2026-02-17,Dhaka,গাইবান্ধা,1
2026-02-12_to_2026-02-17,Dhaka,চাঁদপুর,1
2026-02-12_to_2026-02-17,Dhaka,ঝিনাইদহ,1
2026-02-12_to_2026-02-17,Dhaka,ঠাকুরগাঁও,1
2026-02-12_to_2026-02-17,Dhaka,নীলফামারী,1
2026-02-12_to_2026-02-17,Dhaka,পাবনা,1
2026-02-12_to_2026-02-17,Dhaka,ব্রাহ্মণবাড়িয়া,1
2026-02-12_to_2026-02-17,Dhaka,মানিকগঞ্জ,1
2026-02-12_to_2026-02-17,Dhaka,শরীয়তপুর,1
2026-02-12_to_2026-02-17,Dinajpur,Rajshahi,1
2026-02-12_to_2026-02-17,Dinajpur,Rangpur,1
2026-02-12_to_2026-02-17,Faridpur,Rajbari,1
2026-02-12_to_2026-02-17,Gazipur,Madaripur,1
2026-02-12_to_2026-02-17,Gazipur,Rajshahi,1
2026-02-12_to_2026-02-17,Gazipur,Sirajganj,1
2026-02-12_to_2026-02-17,Gazipur,Sylhet,1
2026-02-12_to_2026-02-17,Jamalpur,Mymensingh,1
2026-02-12_to_2026-02-17,Jamalpur,Pabna,1
2026-02-12_to_2026-02-17,Jamalpur,নরসিংদী,1
2026-02-12_to_2026-02-17,Khulna,Kushtia,1
2026-02-12_to_2026-02-17,Khulna,Satkhira,1
2026-02-12_to_2026-02-17,Kushtia,Rajshahi,1
2026-02-12_to_2026-02-17,Lalmonirhat,লালমনিরহাট,1
2026-02-12_to_2026-02-17,Moulvibazar,মৌলভীবাজার,1
2026-02-12_to_2026-02-17,Mymensingh,জামালপুর,1
2026-02-12_to_2026-02-17,Mymensingh,ময়মনসিংহ,1
2026-02-12_to_2026-02-17,Narsingdi,নরসিংদী,1
2026-02-12_to_2026-02-17,Natore,নাটোর,1
2026-02-12_to_2026-02-17,Noakhali,নোয়াখালী,1
2026-02-12_to_2026-02-17,Pabna,Rajbari,1
2026-02-12_to_2026-02-17,Pabna,Rajshahi,1
2026-02-12_to_2026-02-17,Rangpur,খাও হালুয়া,1
2026-02-12_to_2026-02-17,Rangpur,ঠাকুরগাঁও,1
2026-02-12_to_2026-02-17,Rangpur,নীলফামারী,1
2026-02-12_to_2026-02-17,Rangpur,পাবনা,1
2026-02-12_to_2026-02-17,Rangpur,বগুড়া,1
2026-02-12_to_2026-02-17,Shariatpur,শরীয়তপুর,1
2026-02-12_to_2026-02-17,Sunamganj,Tangail,1
2026-02-12_to_2026-02-17,Sunamganj,সুনামগঞ্জ,1
2026-02-12_to_2026-02-17,চাঁদপুর,ঝিনাইদহ,1
2026-02-12_to_2026-02-17,বগুড়া,ময়মনসিংহ,1
2026-02-18_to_2026-03-01,Chattogram,Dhaka,62
2026-02-18_to_2026-03-01,Dhaka,Gazipur,62
2026-02-18_to_2026-03-01,Chattogram,Noakhali,44
2026-02-18_to_2026-03-01,Barishal,Dhaka,42
