period,location,sentiment,comments,avg_confidence,share
2026-02-12_to_2026-02-17,Bagerhat,neutral,6,0.7399999999999999,0.8571428571428571
2026-02-12_to_2026-02-17,Bagerhat,positive,1,0.58,0.14285714285714285
2026-02-12_to_2026-02-17,Bandarban,neutral,3,0.7399999999999999,1.0
2026-02-12_to_2026-02-17,Barguna,neutral,1,0.74,1.0
2026-02-12_to_2026-02-17,Barishal,negative,2,0.6,0.04878048780487805
2026-02-12_to_2026-02-17,Barishal,neutral,36,0.74,0.8780487804878049
2026-02-12_to_2026-02-17,Barishal,positive,3,0.58,0.07317073170731707
2026-02-12_to_2026-02-17,Bhola,negative,1,0.6,0.09090909090909091
2026-02-12_to_2026-02-17,Bhola,neutral,10,0.74,0.9090909090909091
2026-02-12_to_2026-02-17,Bogura,neutral,1,0.74,1.0
2026-02-12_to_2026-02-17,Brahmanbaria,neutral,5,0.74,1.0
2026-02-12_to_2026-02-17,Chandpur,neutral,16,0.74,0.9411764705882353
2026-02-12_to_2026-02-17,Chandpur,positive,1,0.58,0.058823529411764705
2026-02-12_to_2026-02-17,Chattogram,neutral,88,0.74,0.9565217391304348
2026-02-12_to_2026-02-17,Chattogram,positive,2,0.58,0.021739130434782608
2026-02-12_to_2026-02-17,Chattogram,sarcastic_negative,2,0.65,0.021739130434782608
2026-02-12_to_2026-02-17,Cox's Bazar,neutral,6,0.7399999999999999,1.0
2026-02-12_to_2026-02-17,Cumilla,neutral,18,0.7400000000000001,0.9473684210526315
2026-02-12_to_2026-02-17,Cumilla,positive,1,0.58,0.05263157894736842
2026-02-12_to_2026-02-17,Dhaka,negative,13,0.6061538461538462,0.025096525096525095
2026-02-12_to_2026-02-17,Dhaka,neutral,470,0.74,0.9073359073359073
2026-02-12_to_2026-02-17,Dhaka,positive,35,0.58,0.06756756756756757
2026-02-12_to_2026-02-17,Dinajpur,neutral,5,0.74,1.0
2026-02-12_to_2026-02-17,Faridpur,negative,1,0.6,0.14285714285714285
2026-02-12_to_2026-02-17,Faridpur,neutral,4,0.74,0.5714285714285714
2026-02-12_to_2026-02-17,Faridpur,positive,2,0.58,0.2857142857142857
2026-02-12_to_2026-02-17,Feni,neutral,7,0.74,1.0
2026-02-12_to_2026-02-17,Gazipur,neutral,24,0.74,0.9230769230769231
2026-02-12_to_2026-02-17,Gazipur,positive,2,0.58,0.07692307692307693
2026-02-12_to_2026-02-17,Gopalganj,neutral,1,0.74,1.0
2026-02-12_to_2026-02-17,Habiganj,neutral,5,0.74,0.8333333333333334
2026-02-12_to_2026-02-17,Habiganj,positive,1,0.58,0.16666666666666666
2026-02-12_to_2026-02-17,Jamalpur,neutral,7,0.74,0.875
2026-02-12_to_2026-02-17,Jamalpur,positive,1,0.58,0.125
2026-02-12_to_2026-02-17,Jashore,neutral,1,0.74,1.0
2026-02-12_to_2026-02-17,Jessore,neutral,8,0.74,1.0
2026-02-12_to_2026-02-17,Jhenaidah,neutral,1,0.74,1.0
2026-02-12_to_2026-02-17,Khulna,neutral,25,0.74,1.0
2026-02-12_to_2026-02-17,Kishoreganj,negative,1,0.6,0.09090909090909091
2026-02-12_to_2026-02-17,Kishoreganj,neutral,10,0.74,0.9090909090909091
2026-02-12_to_2026-02-17,Kurigram,neutral,3,0.7399999999999999,1.0
2026-02-12_to_2026-02-17,Kushtia,neutral,3,0.7399999999999999,1.0
2026-02-12_to_2026-02-17,Lakshmipur,neutral,5,0.74,1.0
2026-02-12_to_2026-02-17,Lalmonirhat,neutral,3,0.7399999999999999,1.0
2026-02-12_to_2026-02-17,Madaripur,negative,1,0.6,0.25
2026-02-12_to_2026-02-17,Madaripur,neutral,3,0.7399999999999999,0.75
2026-02-12_to_2026-02-17,Magura,neutral,2,0.74,1.0
2026-02-12_to_2026-02-17,Manikganj,neutral,2,0.74,1.0
2026-02-12_to_2026-02-17,Meherpur,neutral,1,0.74,1.0
2026-02-12_to_2026-02-17,Moulvibazar,neutral,2,0.74,1.0
2026-02-12_to_2026-02-17,Munshiganj,neutral,4,0.74,1.0
2026-02-12_to_2026-02-17,Mymensingh,neutral,24,0.7399999999999999,0.9230769230769231
2026-02-12_to_2026-02-17,Mymensingh,positive,2,0.58,0.07692307692307693
2026-02-12_to_2026-02-17,Naogaon,neutral,4,0.74,1.0
2026-02-12_to_2026-02-17,Narail,neutral,1,0.74,1.0
2026-02-12_to_2026-02-17,Narayanganj,neutral,11,0.7400000000000001,0.9166666666666666
2026-02-12_to_2026-02-17,Narayanganj,positive,1,0.58,0.08333333333333333
2026-02-12_to_2026-02-17,Narsingdi,neutral,7,0.74,0.875
2026-02-12_to_2026-02-17,Narsingdi,positive,1,0.58,0.125
2026-02-12_to_2026-02-17,Natore,neutral,1,0.74,0.5
2026-02-12_to_2026-02-17,Natore,positive,1,0.58,0.5
2026-02-12_to_2026-02-17,Netrokona,neutral,3,0.7399999999999999,1.0
2026-02-12_to_2026-02-17,Nilphamari,neutral,4,0.74,1.0
2026-02-12_to_2026-02-17,Noakhali,neutral,17,0.74,0.9444444444444444
2026-02-12_to_2026-02-17,Noakhali,positive,1,0.58,0.05555555555555555
2026-02-12_to_2026-02-17,Pabna,neutral,6,0.7399999999999999,1.0
2026-02-12_to_2026-02-17,Panchagarh,neutral,5,0.74,1.0
2026-02-12_to_2026-02-17,Patuakhali,negative,1,0.6,0.5
